Grazia_DSC_GR 08                                                18.11.2022 11:46
________________________________________________________________________________



Curve Name:
  Grazia_DSC_GR 08, 18.11.2022 11:28:29
  Performed 18.11.2022 11:28:29
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,995       0,857708
              1              1        -79,661        1,01954
              2              2        -79,323        1,83661
              3              3        -78,982        3,22417
              4              4        -78,639        4,83822
              5              5        -78,300        5,86105
              6              6        -77,965        6,12748
              7              7        -77,633        5,91936
              8              8        -77,304         5,0233
              9              9        -76,976        4,03346
             10             10        -76,649        3,03736
             11             11        -76,321        2,07455
             12             12        -75,992        1,26967
             13             13        -75,663       0,555575
             14             14        -75,334     -0,0604046
             15             15        -75,004      -0,611263
             16             16        -74,673       -1,03266
             17             17        -74,342       -1,40303
             18             18        -74,011       -1,71951
             19             19        -73,679       -2,00215
             20             20        -73,347       -2,21934
             21             21        -73,015       -2,40966
             22             22        -72,683       -2,57005
             23             23        -72,351       -2,71299
             24             24        -72,018       -2,83271
             25             25        -71,686       -2,92453
             26             26        -71,353       -3,00878
             27             27        -71,020       -3,08377
             28             28        -70,688       -3,14822
             29             29        -70,355       -3,19951
             30             30        -70,022       -3,24437
             31             31        -69,689       -3,28243
             32             32        -69,356        -3,3149
             33             33        -69,023       -3,34081
             34             34        -68,690       -3,36286
             35             35        -68,357       -3,38455
             36             36        -68,024       -3,39964
             37             37        -67,691       -3,41361
             38             38        -67,358       -3,42614
             39             39        -67,025       -3,43747
             40             40        -66,692       -3,44819
             41             41        -66,358       -3,45701
             42             42        -66,025       -3,46134
             43             43        -65,692       -3,46413
             44             44        -65,359       -3,46582
             45             45        -65,026       -3,46798
             46             46        -64,693       -3,46964
             47             47        -64,359       -3,47072
             48             48        -64,026       -3,47246
             49             49        -63,693       -3,47806
             50             50        -63,360       -3,48073
             51             51        -63,027       -3,48012
             52             52        -62,694       -3,48351
             53             53        -62,361       -3,48741
             54             54        -62,027       -3,49352
             55             55        -61,694       -3,49307
             56             56        -61,361        -3,4968
             57             57        -61,028        -3,5008
             58             58        -60,695       -3,50429
             59             59        -60,362       -3,50647
             60             60        -60,029       -3,50743
             61             61        -59,695       -3,51201
             62             62        -59,362       -3,51844
             63             63        -59,029        -3,5258
             64             64        -58,696        -3,5293
             65             65        -58,363       -3,53358
             66             66        -58,030        -3,5401
             67             67        -57,697       -3,54687
             68             68        -57,364       -3,55371
             69             69        -57,030       -3,56017
             70             70        -56,697       -3,56679
             71             71        -56,364       -3,57357
             72             72        -56,031       -3,57944
             73             73        -55,698       -3,58594
             74             74        -55,365       -3,59364
             75             75        -55,032       -3,60194
             76             76        -54,699       -3,61419
             77             77        -54,366       -3,62526
             78             78        -54,033       -3,63513
             79             79        -53,700       -3,64474
             80             80        -53,366       -3,65362
             81             81        -53,033       -3,66388
             82             82        -52,700       -3,67636
             83             83        -52,367       -3,68865
             84             84        -52,034       -3,69868
             85             85        -51,701       -3,70935
             86             86        -51,368       -3,72015
             87             87        -51,035       -3,73201
             88             88        -50,702        -3,7444
             89             89        -50,369       -3,75665
             90             90        -50,036       -3,76913
             91             91        -49,703       -3,78335
             92             92        -49,370       -3,79186
             93             93        -49,037       -3,80165
             94             94        -48,704       -3,81322
             95             95        -48,371       -3,82481
             96             96        -48,038        -3,8381
             97             97        -47,705       -3,85628
             98             98        -47,372       -3,87426
             99             99        -47,039       -3,89095
            100            100        -46,706       -3,90424
            101            101        -46,373       -3,91704
            102            102        -46,040       -3,93378
            103            103        -45,707       -3,95178
            104            104        -45,374       -3,96989
            105            105        -45,041       -3,98491
            106            106        -44,708       -3,99765
            107            107        -44,375       -4,00718
            108            108        -44,042       -4,01528
            109            109        -43,709       -4,02341
            110            110        -43,376         -4,031
            111            111        -43,043       -4,03767
            112            112        -42,710       -4,04468
            113            113        -42,377       -4,05177
            114            114        -42,044       -4,05891
            115            115        -41,711       -4,06621
            116            116        -41,377       -4,07296
            117            117        -41,044       -4,07855
            118            118        -40,711       -4,08364
            119            119        -40,378       -4,08881
            120            120        -40,045       -4,09357
            121            121        -39,712        -4,0986
            122            122        -39,379       -4,10308
            123            123        -39,046       -4,10683
