ClaudiaOlga_DSC_GR39                                            23.01.2023 11:12
________________________________________________________________________________



Curve Name:
  ClaudiaOlga_DSC_GR39, 23.01.2023 11:10:36
  Performed 23.01.2023 11:10:36
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,996       0,758476
              1              1        -79,662       0,783967
              2              2        -79,328       0,974376
              3              3        -78,993        1,24205
              4              4        -78,660         1,2324
              5              5        -78,328       0,960316
              6              6        -77,997       0,452216
              7              7        -77,668      -0,170214
              8              8        -77,338      -0,874692
              9              9        -77,009       -1,54008
             10             10        -76,679       -2,14511
             11             11        -76,349       -2,70272
             12             12        -76,019       -3,14384
             13             13        -75,688       -3,52433
             14             14        -75,357       -3,86063
             15             15        -75,025       -4,16317
             16             16        -74,693        -4,3936
             17             17        -74,362       -4,59699
             18             18        -74,029       -4,77116
             19             19        -73,697       -4,92475
             20             20        -73,365       -5,05043
             21             21        -73,033       -5,15977
             22             22        -72,700       -5,25243
             23             23        -72,367       -5,33589
             24             24        -72,035       -5,39852
             25             25        -71,702       -5,45743
             26             26        -71,369       -5,50819
             27             27        -71,037       -5,55727
             28             28        -70,704       -5,59074
             29             29        -70,371       -5,61902
             30             30        -70,038       -5,64613
             31             31        -69,705       -5,67306
             32             32        -69,372       -5,69276
             33             33        -69,039       -5,70627
             34             34        -68,706       -5,71794
             35             35        -68,373       -5,72924
             36             36        -68,040       -5,73806
             37             37        -67,707       -5,74384
             38             38        -67,374       -5,74893
             39             39        -67,041       -5,75392
             40             40        -66,708       -5,75213
             41             41        -66,375       -5,74875
             42             42        -66,042        -5,7447
             43             43        -65,708       -5,74515
             44             44        -65,375       -5,73922
             45             45        -65,042       -5,73217
             46             46        -64,709       -5,72168
             47             47        -64,376       -5,71117
             48             48        -64,043       -5,70212
             49             49        -63,710       -5,69266
             50             50        -63,376       -5,68316
             51             51        -63,043       -5,67312
             52             52        -62,710       -5,66225
             53             53        -62,377       -5,65233
             54             54        -62,044       -5,64316
             55             55        -61,711       -5,62936
             56             56        -61,377       -5,61445
             57             57        -61,044       -5,60264
             58             58        -60,711        -5,5906
             59             59        -60,378       -5,57683
             60             60        -60,045       -5,56444
             61             61        -59,712       -5,55377
             62             62        -59,378       -5,54043
             63             63        -59,045       -5,52819
             64             64        -58,712       -5,51557
             65             65        -58,379       -5,50312
             66             66        -58,046        -5,4907
             67             67        -57,713       -5,47837
             68             68        -57,379       -5,46641
             69             69        -57,046        -5,4544
             70             70        -56,713       -5,44227
             71             71        -56,380       -5,43017
             72             72        -56,047       -5,41858
             73             73        -55,713       -5,40618
             74             74        -55,380       -5,39165
             75             75        -55,047       -5,37575
             76             76        -54,714       -5,36781
             77             77        -54,381        -5,3545
             78             78        -54,047       -5,34114
             79             79        -53,714       -5,32996
             80             80        -53,381       -5,31994
             81             81        -53,048       -5,30987
             82             82        -52,715       -5,29943
             83             83        -52,382       -5,28713
             84             84        -52,048        -5,2771
             85             85        -51,715       -5,26392
             86             86        -51,382       -5,25428
             87             87        -51,049       -5,24536
             88             88        -50,716        -5,2344
             89             89        -50,382       -5,22387
             90             90        -50,049       -5,21341
             91             91        -49,716        -5,2029
             92             92        -49,383       -5,19318
             93             93        -49,050       -5,18377
             94             94        -48,717       -5,17567
             95             95        -48,383        -5,1684
             96             96        -48,050       -5,15817
             97             97        -47,717       -5,14883
             98             98        -47,384       -5,14186
             99             99        -47,051       -5,13345
            100            100        -46,718       -5,12293
            101            101        -46,384       -5,11302
            102            102        -46,051       -5,10412
            103            103        -45,718       -5,09639
            104            104        -45,385       -5,08903
            105            105        -45,052       -5,08101
            106            106        -44,719       -5,07298
            107            107        -44,385       -5,06497
            108            108        -44,052       -5,05685
            109            109        -43,719       -5,04848
            110            110        -43,386       -5,04072
            111            111        -43,053       -5,03399
            112            112        -42,720        -5,0279
            113            113        -42,386       -5,02134
            114            114        -42,053       -5,01483
            115            115        -41,720       -5,00842
            116            116        -41,387       -5,00219
            117            117        -41,054       -4,99571
            118            118        -40,721       -4,98932
            119            119        -40,388       -4,98304
            120            120        -40,054       -4,97673
            121            121        -39,721       -4,97046
            122            122        -39,388        -4,9641
            123            123        -39,055        -4,9576
            124            124        -38,722       -4,95203
            125            125        -38,389       -4,94698
            126            126        -38,055       -4,94158
            127            127        -37,722       -4,93621
            128            128        -37,389       -4,93083
            129            129        -37,056       -4,92542
            130            130        -36,723       -4,92054
            131            131        -36,390       -4,91689
            132            132        -36,057       -4,91327
            133            133        -35,723       -4,90932
            134            134        -35,390       -4,90482
            135            135        -35,057        -4,8999
            136            136        -34,724       -4,89441
            137            137        -34,391       -4,88935
            138            138        -34,058       -4,88431
            139            139        -33,725       -4,87892
            140            140        -33,392       -4,87467
            141            141        -33,058       -4,87002
            142            142        -32,725       -4,86559
            143            143        -32,392       -4,86157
            144            144        -32,059       -4,85623
            145            145        -31,726       -4,84905
            146            146        -31,393       -4,84254
            147            147        -31,059       -4,83705
            148            148        -30,726       -4,83182
            149            149        -30,393       -4,82645
            150            150        -30,060       -4,82104
            151            151        -29,727       -4,81547
            152            152        -29,394       -4,81187
            153            153        -29,061       -4,80773
            154            154        -28,727       -4,80374
            155            155        -28,394       -4,79953
            156            156        -28,061       -4,79654
            157            157        -27,728       -4,79312
            158            158        -27,395        -4,7894
            159            159        -27,062       -4,78522
            160            160        -26,729       -4,78231
            161            161        -26,396       -4,77893
            162            162        -26,062        -4,7755
            163            163        -25,729       -4,77218
            164            164        -25,396       -4,76902
            165            165        -25,063       -4,76555
            166            166        -24,730       -4,76239
            167            167        -24,397       -4,75932
            168            168        -24,064       -4,75607
            169            169        -23,731        -4,7534
