Grazia_DSC_GR32                                                 01.02.2023 15:48
________________________________________________________________________________



Curve Name:
  Grazia_DSC_GR32, 01.02.2023 14:45:34
  Performed 01.02.2023 14:45:34
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,997       0,586054
              1              1        -79,664       0,579346
              2              2        -79,330       0,593578
              3              3        -78,997       0,549578
              4              4        -78,666      0,0533884
              5              5        -78,337      -0,660818
              6              6        -78,009       -1,51679
              7              7        -77,680        -2,4167
              8              8        -77,352       -3,23901
              9              9        -77,023       -3,97155
             10             10        -76,693       -4,59317
             11             11        -76,364       -5,14202
             12             12        -76,033       -5,53278
             13             13        -75,702       -5,86544
             14             14        -75,370       -6,13701
             15             15        -75,039       -6,37013
             16             16        -74,706       -6,53204
             17             17        -74,374       -6,66644
             18             18        -74,042       -6,77231
             19             19        -73,709       -6,86469
             20             20        -73,377       -6,93589
             21             21        -73,044       -6,98925
             22             22        -72,711       -7,03003
             23             23        -72,379        -7,0647
             24             24        -72,046       -7,08609
             25             25        -71,713       -7,10333
             26             26        -71,380       -7,11242
             27             27        -71,047       -7,11967
             28             28        -70,714       -7,11836
             29             29        -70,381       -7,11668
             30             30        -70,048       -7,11488
             31             31        -69,715       -7,11268
             32             32        -69,382       -7,10472
             33             33        -69,048       -7,09499
             34             34        -68,715       -7,08254
             35             35        -68,382       -7,06981
             36             36        -68,049        -7,0614
             37             37        -67,716       -7,05059
             38             38        -67,383       -7,03618
             39             39        -67,050       -7,02162
             40             40        -66,717       -7,00681
             41             41        -66,384       -6,99196
             42             42        -66,050       -6,97707
             43             43        -65,717       -6,96264
             44             44        -65,384       -6,95146
             45             45        -65,051       -6,93537
             46             46        -64,718       -6,91949
             47             47        -64,385       -6,90597
             48             48        -64,052       -6,88886
             49             49        -63,719       -6,87268
             50             50        -63,385       -6,85772
             51             51        -63,052       -6,84359
             52             52        -62,719       -6,83135
             53             53        -62,386       -6,81783
             54             54        -62,053       -6,80432
             55             55        -61,720       -6,79098
             56             56        -61,387       -6,77729
             57             57        -61,053       -6,76356
             58             58        -60,720       -6,75065
             59             59        -60,387       -6,73779
             60             60        -60,054       -6,72531
             61             61        -59,721       -6,71405
             62             62        -59,388       -6,70415
             63             63        -59,055       -6,69483
             64             64        -58,722       -6,67894
             65             65        -58,388       -6,66477
             66             66        -58,055       -6,65026
             67             67        -57,722       -6,63977
             68             68        -57,389       -6,63283
             69             69        -57,056       -6,62511
             70             70        -56,723       -6,61419
             71             71        -56,390       -6,60259
             72             72        -56,057       -6,59213
             73             73        -55,724       -6,58148
             74             74        -55,390       -6,57065
             75             75        -55,057       -6,55888
             76             76        -54,724       -6,54617
             77             77        -54,391       -6,53329
             78             78        -54,058       -6,51997
             79             79        -53,725       -6,50581
             80             80        -53,392       -6,49896
             81             81        -53,059       -6,49074
             82             82        -52,725       -6,47997
             83             83        -52,392       -6,46948
             84             84        -52,059       -6,45857
             85             85        -51,726       -6,44776
             86             86        -51,393       -6,43675
             87             87        -51,060        -6,4261
             88             88        -50,727        -6,4171
             89             89        -50,394       -6,40759
             90             90        -50,060       -6,39698
             91             91        -49,727       -6,38551
             92             92        -49,394       -6,37448
             93             93        -49,061       -6,36593
             94             94        -48,728       -6,35794
             95             95        -48,395       -6,34995
             96             96        -48,062       -6,34055
             97             97        -47,729       -6,33156
             98             98        -47,396       -6,32315
             99             99        -47,062       -6,31532
            100            100        -46,729       -6,30748
            101            101        -46,396       -6,29949
            102            102        -46,063       -6,29168
            103            103        -45,730       -6,28394
            104            104        -45,397       -6,27621
            105            105        -45,064       -6,26868
            106            106        -44,731       -6,26116
            107            107        -44,398       -6,25358
            108            108        -44,065       -6,24615
            109            109        -43,731       -6,23858
            110            110        -43,398       -6,23104
            111            111        -43,065       -6,22351
            112            112        -42,732        -6,2159
            113            113        -42,399       -6,20861
            114            114        -42,066       -6,20185
            115            115        -41,733         -6,195
            116            116        -41,400       -6,18831
            117            117        -41,067        -6,1813
            118            118        -40,733       -6,17403
            119            119        -40,400       -6,16733
            120            120        -40,067       -6,16215
            121            121        -39,734       -6,15715
            122            122        -39,401       -6,15195
            123            123        -39,068       -6,14655
            124            124        -38,735        -6,1414
            125            125        -38,402        -6,1361
            126            126        -38,069       -6,13065
            127            127        -37,736       -6,12529
            128            128        -37,403       -6,11888
            129            129        -37,070       -6,11291
            130            130        -36,736       -6,10668
            131            131        -36,403       -6,10002
            132            132        -36,070       -6,09515
            133            133        -35,737       -6,09041
            134            134        -35,404       -6,08545
            135            135        -35,071       -6,08073
            136            136        -34,738       -6,07446
            137            137        -34,405       -6,06839
            138            138        -34,072       -6,06217
            139            139        -33,739       -6,05607
            140            140        -33,406       -6,04929
            141            141        -33,072       -6,04213
            142            142        -32,739       -6,03759
            143            143        -32,406       -6,03278
            144            144        -32,073       -6,02762
            145            145        -31,740       -6,02255
            146            146        -31,407       -6,01766
            147            147        -31,074       -6,01289
            148            148        -30,741       -6,00847
            149            149        -30,408        -6,0042
            150            150        -30,075       -5,99987
            151            151        -29,742       -5,99581
            152            152        -29,409       -5,99147
            153            153        -29,075       -5,98693
            154            154        -28,742       -5,98226
            155            155        -28,409       -5,97796
            156            156        -28,076       -5,97425
            157            157        -27,743       -5,97031
            158            158        -27,410       -5,96628
            159            159        -27,077       -5,96222
            160            160        -26,744       -5,95825
            161            161        -26,411       -5,95419
            162            162        -26,078       -5,95028
            163            163        -25,745       -5,94649
            164            164        -25,412       -5,94266
            165            165        -25,079       -5,93847
            166            166        -24,746        -5,9352
            167            167        -24,412       -5,93266
            168            168        -24,079       -5,93029
            169            169        -23,746       -5,92777
            170            170        -23,413       -5,92533
            171            171        -23,080       -5,92296
            172            172        -22,747        -5,9205
            173            173        -22,414       -5,91829
            174            174        -22,081       -5,91613
            175            175        -21,748       -5,91311
            176            176        -21,415       -5,90784
            177            177        -21,082       -5,90188
            178            178        -20,749       -5,89673
            179            179        -20,416       -5,89426
            180            180        -20,083       -5,89094
            181            181        -19,750       -5,88761
            182            182        -19,417       -5,88313
            183            183        -19,083       -5,87809
            184            184        -18,750       -5,86656
            185            185        -18,417       -5,86026
            186            186        -18,084       -5,85673
            187            187        -17,751       -5,85572
            188            188        -17,418        -5,8542
            189            189        -17,085        -5,8524
            190            190        -16,752       -5,85066
            191            191        -16,419       -5,84891
            192            192        -16,086       -5,84703
            193            193        -15,753       -5,84532
            194            194        -15,420       -5,84366
            195            195        -15,087       -5,84194
            196            196        -14,754       -5,84047
            197            197        -14,421       -5,83876
            198            198        -14,088       -5,83692
            199            199        -13,755       -5,83497
            200            200        -13,422       -5,83293
            201            201        -13,089       -5,83089
            202            202        -12,755       -5,82883
            203            203        -12,422       -5,82677
            204            204        -12,089       -5,82456
            205            205        -11,756       -5,82259
            206            206        -11,423        -5,8207
            207            207        -11,090       -5,81897
            208            208        -10,757        -5,8174
            209            209        -10,424       -5,81572
            210            210        -10,091        -5,8143
            211            211         -9,758       -5,81336
            212            212         -9,425       -5,81229
            213            213         -9,092       -5,81121
