^Grazia_DSC_Gr30                                                16.01.2023 12:19
________________________________________________________________________________



Curve Name:
  ^Grazia_DSC_Gr30, 16.01.2023 12:19:00
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,996       0,823969
              1              1        -79,662       0,818658
              2              2        -79,328       0,908822
              3              3        -78,994        1,00869
              4              4        -78,663       0,645779
              5              5        -78,333     -0,0117988
              6              6        -78,005      -0,905486
              7              7        -77,677       -1,89787
              8              8        -77,350       -2,89865
              9              9        -77,022       -3,80812
             10             10        -76,694       -4,61172
             11             11        -76,365       -5,33773
             12             12        -76,035       -5,88616
             13             13        -75,705        -6,3683
             14             14        -75,374       -6,77671
             15             15        -75,043       -7,13946
             16             16        -74,712       -7,41121
             17             17        -74,380       -7,64809
             18             18        -74,048       -7,84601
             19             19        -73,717       -8,02292
             20             20        -73,384       -8,14912
             21             21        -73,052       -8,25813
             22             22        -72,720        -8,3483
             23             23        -72,387       -8,42606
             24             24        -72,055       -8,47801
             25             25        -71,722       -8,52081
             26             26        -71,389       -8,55326
             27             27        -71,056       -8,57934
             28             28        -70,724       -8,59918
             29             29        -70,391       -8,60986
             30             30        -70,058       -8,61555
             31             31        -69,725       -8,62016
             32             32        -69,392       -8,62312
             33             33        -69,059       -8,62183
             34             34        -68,726       -8,61618
             35             35        -68,393       -8,60944
             36             36        -68,060       -8,60187
             37             37        -67,727       -8,59336
             38             38        -67,394       -8,58209
             39             39        -67,061       -8,56677
             40             40        -66,728        -8,5545
             41             41        -66,395         -8,542
             42             42        -66,062       -8,52926
             43             43        -65,729       -8,51459
             44             44        -65,396       -8,50025
             45             45        -65,063       -8,48756
             46             46        -64,729       -8,47214
             47             47        -64,396       -8,45668
             48             48        -64,063       -8,44078
             49             49        -63,730       -8,42468
             50             50        -63,397       -8,40964
             51             51        -63,064       -8,39789
             52             52        -62,731       -8,38371
             53             53        -62,398       -8,36973
             54             54        -62,065       -8,35634
             55             55        -61,732       -8,34366
             56             56        -61,399        -8,3263
             57             57        -61,066        -8,3071
             58             58        -60,733       -8,29282
             59             59        -60,400       -8,27916
             60             60        -60,067       -8,26586
             61             61        -59,733       -8,25223
             62             62        -59,400       -8,23865
             63             63        -59,067       -8,22502
             64             64        -58,734       -8,20885
             65             65        -58,401       -8,19323
             66             66        -58,068       -8,18008
             67             67        -57,735       -8,16757
             68             68        -57,402       -8,15482
             69             69        -57,069       -8,14148
             70             70        -56,736       -8,12632
             71             71        -56,403       -8,11004
             72             72        -56,070       -8,09798
             73             73        -55,737       -8,08458
             74             74        -55,404        -8,0714
             75             75        -55,070        -8,0585
             76             76        -54,737       -8,04592
             77             77        -54,404       -8,03313
             78             78        -54,071       -8,02047
             79             79        -53,738         -8,008
             80             80        -53,405       -7,99725
             81             81        -53,072       -7,98694
             82             82        -52,739       -7,97655
             83             83        -52,406       -7,96582
             84             84        -52,073       -7,94866
             85             85        -51,740       -7,93546
             86             86        -51,407       -7,92324
             87             87        -51,074       -7,91146
             88             88        -50,741       -7,90041
             89             89        -50,408       -7,88945
             90             90        -50,074       -7,87835
             91             91        -49,741       -7,86759
             92             92        -49,408       -7,85539
             93             93        -49,075       -7,84387
             94             94        -48,742       -7,83215
             95             95        -48,409       -7,81978
             96             96        -48,076       -7,80759
             97             97        -47,743       -7,79759
             98             98        -47,410       -7,78892
             99             99        -47,077       -7,78297
            100            100        -46,744       -7,77128
            101            101        -46,411       -7,75977
            102            102        -46,078       -7,74845
            103            103        -45,745       -7,73714
            104            104        -45,412       -7,72819
            105            105        -45,079       -7,72078
            106            106        -44,746       -7,71048
            107            107        -44,412       -7,69935
            108            108        -44,079       -7,68795
            109            109        -43,746       -7,67693
            110            110        -43,413       -7,66829
            111            111        -43,080       -7,65993
            112            112        -42,747       -7,64978
            113            113        -42,414       -7,63832
            114            114        -42,081       -7,63011
            115            115        -41,748       -7,62273
            116            116        -41,415       -7,61235
            117            117        -41,082       -7,60274
            118            118        -40,749        -7,5934
            119            119        -40,416       -7,58409
            120            120        -40,083       -7,57486
            121            121        -39,750        -7,5657
            122            122        -39,417       -7,55653
            123            123        -39,084        -7,5473
            124            124        -38,751        -7,5383
            125            125        -38,417       -7,52938
            126            126        -38,084       -7,52053
            127            127        -37,751       -7,51176
            128            128        -37,418       -7,50343
            129            129        -37,085       -7,49494
            130            130        -36,752       -7,48632
            131            131        -36,419       -7,47778
            132            132        -36,086       -7,46956
            133            133        -35,753       -7,46074
            134            134        -35,420       -7,45166
            135            135        -35,087       -7,44441
            136            136        -34,754       -7,43866
            137            137        -34,421       -7,43241
            138            138        -34,088       -7,42586
            139            139        -33,755       -7,41933
            140            140        -33,422        -7,4128
            141            141        -33,089       -7,40612
            142            142        -32,756       -7,39935
            143            143        -32,423       -7,39226
            144            144        -32,090       -7,38482
            145            145        -31,757        -7,3774
            146            146        -31,424       -7,36993
            147            147        -31,091       -7,36252
            148            148        -30,757       -7,35488
            149            149        -30,424       -7,34721
            150            150        -30,091       -7,33987
            151            151        -29,758       -7,33364
            152            152        -29,425       -7,32711
            153            153        -29,092       -7,32037
            154            154        -28,759       -7,31365
            155            155        -28,426       -7,30705
            156            156        -28,093       -7,30045
            157            157        -27,760       -7,29387
            158            158        -27,427       -7,28746
            159            159        -27,094       -7,28145
            160            160        -26,761       -7,27577
            161            161        -26,428       -7,26993
            162            162        -26,095       -7,26395
            163            163        -25,762       -7,25833
            164            164        -25,429       -7,25338
            165            165        -25,096       -7,24794
            166            166        -24,763       -7,24241
            167            167        -24,430       -7,23694
            168            168        -24,097        -7,2314
            169            169        -23,764       -7,22607
            170            170        -23,431       -7,22087
            171            171        -23,098       -7,21557
            172            172        -22,765       -7,21086
            173            173        -22,432       -7,20641
            174            174        -22,099       -7,20278
            175            175        -21,766       -7,19928
            176            176        -21,433        -7,1938
            177            177        -21,100       -7,18909
            178            178        -20,767       -7,18453
            179            179        -20,434       -7,17982
            180            180        -20,101       -7,17496
            181            181        -19,768       -7,16996
            182            182        -19,435       -7,16499
            183            183        -19,102       -7,16001
            184            184        -18,769       -7,15493
            185            185        -18,436        -7,1506
            186            186        -18,103        -7,1461
            187            187        -17,770        -7,1417
            188            188        -17,437        -7,1374
            189            189        -17,104       -7,13363
            190            190        -16,771       -7,12969
            191            191        -16,438       -7,12567
            192            192        -16,105       -7,12167
            193            193        -15,772       -7,11798
            194            194        -15,439       -7,11403
            195            195        -15,106       -7,11009
            196            196        -14,773       -7,10612
            197            197        -14,440       -7,10215
            198            198        -14,107       -7,09835
            199            199        -13,774       -7,09464
            200            200        -13,441       -7,09105
            201            201        -13,108       -7,08769
            202            202        -12,775       -7,08414
            203            203        -12,442       -7,08044
            204            204        -12,109       -7,07672
            205            205        -11,776       -7,07301
            206            206        -11,443       -7,06924
            207            207        -11,110       -7,06542
            208            208        -10,777       -7,06166
            209            209        -10,444       -7,05818
            210            210        -10,111       -7,05442
            211            211         -9,778       -7,05061
            212            212         -9,445       -7,04799
            213            213         -9,112       -7,04546
            214            214         -8,779       -7,04268
            215            215         -8,446       -7,03992
            216            216         -8,113       -7,03717
            217            217         -7,780       -7,03457
            218            218         -7,447       -7,03189
            219            219         -7,114       -7,02918
            220            220         -6,781       -7,02652
            221            221         -6,448       -7,02398
            222            222         -6,115       -7,02151
            223            223         -5,782       -7,01911
            224            224         -5,449       -7,01676
            225            225         -5,116       -7,01473
            226            226         -4,783       -7,01261
            227            227         -4,450       -7,01047
            228            228         -4,117       -7,00827
            229            229         -3,784       -7,00622
            230            230         -3,451       -7,00408
            231            231         -3,118       -7,00194
            232            232         -2,785       -6,99984
            233            233         -2,452       -6,99766
            234            234         -2,119       -6,99565
            235            235         -1,786       -6,99373
            236            236         -1,453       -6,99187
            237            237         -1,120       -6,99012
            238            238         -0,787       -6,98833
            239            239         -0,454       -6,98655
            240            240         -0,121       -6,98481
            241            241          0,212       -6,98331
            242            242          0,545       -6,98191
            243            243          0,878       -6,98067
            244            244          1,211       -6,97949
            245            245          1,544        -6,9788
            246            246          1,877       -6,97802
            247            247          2,209       -6,97727
            248            248          2,542       -6,97646
            249            249          2,875       -6,97579
            250            250          3,208       -6,97518
            251            251          3,541       -6,97464
            252            252          3,874       -6,97418
            253            253          4,207        -6,9738
            254            254          4,540       -6,97344
            255            255          4,873       -6,97305
            256            256          5,206       -6,97261
            257            257          5,539       -6,97214
            258            258          5,872       -6,97177
            259            259          6,205       -6,97139
            260            260          6,538       -6,97069
            261            261          6,871       -6,96934
            262            262          7,204       -6,97027
            263            263          7,537        -6,9714
            264            264          7,870       -6,97223
            265            265          8,203       -6,97266
            266            266          8,535       -6,97326
            267            267          8,868       -6,97383
            268            268          9,201       -6,97422
            269            269          9,534       -6,97531
            270            270          9,867        -6,9763
            271            271         10,200       -6,97736
            272            272         10,533       -6,97846
            273            273         10,866       -6,97993
            274            274         11,199       -6,98128
            275            275         11,532       -6,98264
            276            276         11,865       -6,98407
            277            277         12,198       -6,98593
            278            278         12,531       -6,98759
            279            279         12,863       -6,98953
            280            280         13,196       -6,99198
            281            281         13,529       -6,99521
            282            282         13,862       -6,99815
            283            283         14,195       -7,00105
            284            284         14,528       -7,00405
            285            285         14,861        -7,0076
            286            286         15,194       -7,01101
            287            287         15,526       -7,01453
            288            288         15,859       -7,01815
            289            289         16,192       -7,02235
            290            290         16,525       -7,02653
            291            291         16,858       -7,03087
            292            292         17,191       -7,03539
            293            293         17,524       -7,04068
            294            294         17,856       -7,04578
            295            295         18,189       -7,05093
            296            296         18,522       -7,05646
            297            297         18,855       -7,06287
            298            298         19,188       -7,06924
            299            299         19,521       -7,07593
            300            300         19,853        -7,0829
            301            301         20,186       -7,09062
            302            302         20,519       -7,09791
            303            303         20,852       -7,10522
            304            304         21,184       -7,11272
            305            305         21,517       -7,12036
            306            306         21,850       -7,12814
            307            307         22,183       -7,13606
            308            308         22,516       -7,14398
            309            309         22,848       -7,15217
            310            310         23,181       -7,16031
            311            311         23,514       -7,16858
            312            312         23,847       -7,17686
            313            313         24,179       -7,18527
            314            314         24,512       -7,19366
            315            315         24,845       -7,20278
            316            316         25,178       -7,21205
            317            317         25,510       -7,22151
            318            318         25,843       -7,23094
            319            319         26,176       -7,24044
            320            320         26,508       -7,24954
            321            321         26,841       -7,25891
            322            322         27,174       -7,26948
            323            323         27,507       -7,28227
            324            324         27,839       -7,29484
            325            325         28,172       -7,30762
            326            326         28,504       -7,32037
            327            327         28,837       -7,33373
            328            328         29,170       -7,34828
            329            329         29,502       -7,36419
            330            330         29,835       -7,37992
            331            331         30,167       -7,39591
            332            332         30,500       -7,41193
            333            333         30,832       -7,42932
            334            334         31,165       -7,44783
            335            335         31,497       -7,46733
            336            336         31,830        -7,4872
            337            337         32,162       -7,50824
