Ruben_A''cutAC                                                  08.10.2021 14:32
________________________________________________________________________________



Curve Name:
  Ruben_A''cutAC, 08.10.2021 14:27:56
  Performed 08.10.2021 14:27:56
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9935        2,35628
              7              7       -97,6359         10,243
             14             14       -95,3268        2,01465
             21             21       -93,0081       -2,31819
             28             28        -90,682        -4,0897
             35             35       -88,3522       -4,69035
             42             42       -86,0207       -4,85431
             49             49       -83,6887       -4,85895
             56             56       -81,3564       -4,80225
             63             63        -79,024       -4,73268
             70             70       -76,6917       -4,68146
             77             77       -74,3593       -4,63193
             84             84       -72,0269       -4,56819
             91             91       -69,6945       -4,51824
             98             98       -67,3622       -4,47689
            105            105         -65,03       -4,45475
            112            112        -62,698       -4,45292
            119            119       -60,3661       -4,47514
            126            126       -58,0341       -4,47538
            133            133       -55,7022       -4,49433
            140            140       -53,3704       -4,51571
            147            147       -51,0387       -4,54761
            154            154        -48,707        -4,5695
            161            161       -46,3753       -4,59394
            168            168       -44,0435       -4,60524
            175            175       -41,7117       -4,60789
            182            182       -39,3797       -4,59985
            189            189       -37,0478       -4,58798
            196            196       -34,7157       -4,56817
            203            203       -32,3838       -4,56045
            210            210       -30,0518        -4,5497
            217            217         -27,72       -4,54885
            224            224       -25,3883        -4,5538
            231            231       -23,0565        -4,5549
            238            238       -20,7248       -4,56454
            245            245       -18,3932       -4,57174
            252            252       -16,0615       -4,57214
            259            259       -13,7297       -4,57334
            266            266       -11,3981       -4,57471
            273            273       -9,06636        -4,5748
            280            280       -6,73465        -4,5741
            287            287       -4,40297        -4,5747
            294            294        -2,0713       -4,57647
            301            301       0,260539       -4,56778
            308            308        2,59226       -4,56628
            315            315        4,92393       -4,56824
            322            322        7,25553       -4,57421
            329            329         9,5871       -4,58136
            336            336        11,9187       -4,58871
            343            343        14,2502       -4,60013
            350            350        16,5816       -4,61454
            357            357         18,913       -4,62791
            364            364        21,2443       -4,64685
            371            371        23,5756       -4,66763
            378            378        25,9067       -4,69404
            385            385        28,2378        -4,7239
            392            392        30,5688       -4,75509
            399            399        32,8995       -4,79638
            406            406        35,2301       -4,84798
            413            413        37,5604       -4,90604
            420            420        39,8904       -4,97873
            427            427        42,2197       -5,08031
            434            434        44,5479        -5,2255
            441            441        46,8745       -5,43733
            448            448        49,1992       -5,72087
            455            455        51,5237       -6,00519
            462            462        53,8518        -6,1331
            469            469        56,1843       -6,07698
