Grazia_DSC_GR37                                                 19.01.2023 12:20
________________________________________________________________________________



Curve Name:
  Grazia_DSC_GR37, 19.01.2023 12:03:32
  Performed 19.01.2023 12:03:32
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,997       0,627492
              1              1        -79,663       0,699964
              2              2        -79,328       0,993761
              3              3        -78,992        1,41547
              4              4        -78,658        1,55888
              5              5        -78,326        1,37712
              6              6        -77,995       0,885395
              7              7        -77,665       0,240396
              8              8        -77,336      -0,517216
              9              9        -77,007       -1,24099
             10             10        -76,678       -1,89826
             11             11        -76,348       -2,50017
             12             12        -76,018       -2,96794
             13             13        -75,687       -3,37515
             14             14        -75,356       -3,72435
             15             15        -75,024       -4,03785
             16             16        -74,693       -4,27505
             17             17        -74,361       -4,48342
             18             18        -74,029        -4,6587
             19             19        -73,697       -4,81202
             20             20        -73,364       -4,93351
             21             21        -73,032         -5,047
             22             22        -72,699       -5,13901
             23             23        -72,367       -5,21863
             24             24        -72,034       -5,28307
             25             25        -71,701       -5,34095
             26             26        -71,369        -5,3932
             27             27        -71,036       -5,43799
             28             28        -70,703       -5,47107
             29             29        -70,370       -5,49816
             30             30        -70,037       -5,52488
             31             31        -69,704       -5,55093
             32             32        -69,371       -5,56467
             33             33        -69,038       -5,57715
             34             34        -68,705       -5,58697
             35             35        -68,372       -5,59671
             36             36        -68,039       -5,59462
             37             37        -67,706       -5,59278
             38             38        -67,373       -5,59427
             39             39        -67,040       -5,59247
             40             40        -66,707       -5,59005
             41             41        -66,373       -5,58536
             42             42        -66,040       -5,57691
             43             43        -65,707       -5,56994
             44             44        -65,374       -5,56283
             45             45        -65,041       -5,55207
             46             46        -64,708       -5,54165
             47             47        -64,375       -5,53398
             48             48        -64,041       -5,52474
             49             49        -63,708       -5,51208
             50             50        -63,375       -5,50227
             51             51        -63,042       -5,49262
             52             52        -62,709       -5,48301
             53             53        -62,376       -5,47203
             54             54        -62,042       -5,45809
             55             55        -61,709       -5,44333
             56             56        -61,376       -5,43241
             57             57        -61,043        -5,4186
             58             58        -60,710       -5,40788
             59             59        -60,377       -5,39731
             60             60        -60,043       -5,38535
             61             61        -59,710        -5,3739
             62             62        -59,377       -5,36157
             63             63        -59,044       -5,34642
             64             64        -58,711       -5,33692
             65             65        -58,377        -5,3238
             66             66        -58,044       -5,31103
             67             67        -57,711       -5,30043
             68             68        -57,378       -5,29116
             69             69        -57,045        -5,2818
             70             70        -56,712       -5,27253
             71             71        -56,378       -5,26312
             72             72        -56,045       -5,25383
             73             73        -55,712       -5,24462
             74             74        -55,379       -5,23455
             75             75        -55,046       -5,22422
             76             76        -54,713       -5,21437
             77             77        -54,379       -5,20488
             78             78        -54,046       -5,19652
             79             79        -53,713       -5,18858
             80             80        -53,380       -5,18062
             81             81        -53,047       -5,17272
             82             82        -52,714       -5,16512
             83             83        -52,380       -5,15778
             84             84        -52,047       -5,14915
             85             85        -51,714       -5,13734
             86             86        -51,381       -5,12648
             87             87        -51,048       -5,11974
             88             88        -50,715       -5,11367
             89             89        -50,381       -5,10632
             90             90        -50,048       -5,09894
             91             91        -49,715       -5,09344
             92             92        -49,382       -5,08659
             93             93        -49,049       -5,07602
             94             94        -48,716       -5,06909
             95             95        -48,382       -5,06303
             96             96        -48,049       -5,05663
             97             97        -47,716       -5,05016
             98             98        -47,383       -5,04362
             99             99        -47,050       -5,03715
            100            100        -46,717       -5,03085
            101            101        -46,383       -5,02431
            102            102        -46,050       -5,01774
            103            103        -45,717       -5,01168
            104            104        -45,384       -5,00727
            105            105        -45,051       -5,00199
            106            106        -44,718       -4,99646
            107            107        -44,385       -4,99081
            108            108        -44,051       -4,98514
            109            109        -43,718       -4,97947
            110            110        -43,385       -4,97385
            111            111        -43,052        -4,9682
            112            112        -42,719       -4,96308
            113            113        -42,386       -4,95771
            114            114        -42,053       -4,95233
            115            115        -41,719       -4,94705
            116            116        -41,386       -4,94176
            117            117        -41,053       -4,93643
            118            118        -40,720       -4,93159
            119            119        -40,387       -4,92788
            120            120        -40,054       -4,92489
            121            121        -39,721       -4,92081
            122            122        -39,388        -4,9158
            123            123        -39,054       -4,91055
            124            124        -38,721       -4,90832
            125            125        -38,388       -4,90479
            126            126        -38,055       -4,90108
            127            127        -37,722       -4,89743
            128            128        -37,389       -4,89412
            129            129        -37,056       -4,89087
            130            130        -36,723       -4,88772
            131            131        -36,389        -4,8847
            132            132        -36,056       -4,88215
            133            133        -35,723       -4,87941
            134            134        -35,390       -4,87654
            135            135        -35,057       -4,87374
            136            136        -34,724        -4,8714
            137            137        -34,391       -4,86857
            138            138        -34,058         -4,863
            139            139        -33,724       -4,85659
            140            140        -33,391       -4,85517
            141            141        -33,058       -4,85393
            142            142        -32,725       -4,85139
            143            143        -32,392       -4,84597
            144            144        -32,059       -4,84425
            145            145        -31,726       -4,84217
            146            146        -31,393        -4,8404
            147            147        -31,059       -4,83832
            148            148        -30,726       -4,83663
            149            149        -30,393       -4,83473
            150            150        -30,060       -4,83268
            151            151        -29,727       -4,83056
            152            152        -29,394        -4,8285
            153            153        -29,061        -4,8263
            154            154        -28,728       -4,82376
            155            155        -28,395       -4,82104
            156            156        -28,062       -4,82304
            157            157        -27,728       -4,82212
            158            158        -27,395       -4,82113
            159            159        -27,062       -4,82046
            160            160        -26,729       -4,82006
            161            161        -26,396       -4,81962
            162            162        -26,063       -4,81905
            163            163        -25,730       -4,81842
            164            164        -25,397       -4,81811
            165            165        -25,064       -4,81756
            166            166        -24,731        -4,8168
            167            167        -24,398       -4,81526
            168            168        -24,065       -4,81724
            169            169        -23,731       -4,81791
            170            170        -23,398       -4,81805
            171            171        -23,065        -4,8177
            172            172        -22,732        -4,8171
            173            173        -22,399       -4,81682
            174            174        -22,066       -4,81857
            175            175        -21,733       -4,81873
            176            176        -21,400       -4,81801
            177            177        -21,067       -4,81789
            178            178        -20,734       -4,81782
            179            179        -20,401       -4,81766
            180            180        -20,068       -4,81773
            181            181        -19,735       -4,81762
            182            182        -19,401       -4,81751
            183            183        -19,068       -4,81736
            184            184        -18,735       -4,81724
            185            185        -18,402       -4,81713
            186            186        -18,069       -4,81711
            187            187        -17,736        -4,8172
            188            188        -17,403       -4,81744
            189            189        -17,070       -4,81754
            190            190        -16,737       -4,81767
            191            191        -16,404       -4,81787
            192            192        -16,071       -4,81813
            193            193        -15,738       -4,81841
            194            194        -15,405       -4,81873
            195            195        -15,072       -4,81904
            196            196        -14,739        -4,8195
            197            197        -14,405       -4,81996
            198            198        -14,072       -4,82028
            199            199        -13,739       -4,82056
            200            200        -13,406       -4,82087
            201            201        -13,073       -4,82119
            202            202        -12,740       -4,82147
            203            203        -12,407       -4,82156
            204            204        -12,074       -4,82213
            205            205        -11,741       -4,82251
            206            206        -11,408       -4,82283
            207            207        -11,075       -4,82321
            208            208        -10,742       -4,82346
            209            209        -10,409       -4,82368
            210            210        -10,076       -4,82381
            211            211         -9,743       -4,82395
            212            212         -9,410       -4,82396
            213            213         -9,076       -4,82411
            214            214         -8,743        -4,8243
            215            215         -8,410       -4,82458
            216            216         -8,077       -4,82487
            217            217         -7,744       -4,82513
            218            218         -7,411       -4,82538
            219            219         -7,078       -4,82562
            220            220         -6,745       -4,82581
            221            221         -6,412       -4,82586
            222            222         -6,079       -4,82585
            223            223         -5,746       -4,82594
            224            224         -5,413       -4,82607
            225            225         -5,080       -4,82628
            226            226         -4,747       -4,82647
            227            227         -4,414       -4,82671
            228            228         -4,081       -4,82693
            229            229         -3,747       -4,82692
            230            230         -3,414       -4,82686
            231            231         -3,081       -4,82689
            232            232         -2,748       -4,82583
            233            233         -2,415       -4,82479
            234            234         -2,082        -4,8236
            235            235         -1,749       -4,82267
            236            236         -1,416       -4,82131
            237            237         -1,083        -4,8202
            238            238         -0,750       -4,81917
            239            239         -0,417       -4,81807
            240            240    -83,614e-03        -4,8168
            241            241          0,249       -4,81561
            242            242          0,583       -4,81439
            243            243          0,916       -4,81313
            244            244          1,249       -4,80967
            245            245          1,582       -4,80597
            246            246          1,915       -4,80246
            247            247          2,248       -4,79968
            248            248          2,581       -4,79903
            249            249          2,914        -4,8002
            250            250          3,247       -4,80039
            251            251          3,580       -4,79927
            252            252          3,914       -4,79699
            253            253          4,247       -4,79556
            254            254          4,580       -4,79424
            255            255          4,913       -4,79347
            256            256          5,246       -4,79326
            257            257          5,579       -4,79445
            258            258          5,912       -4,79563
            259            259          6,245       -4,79458
            260            260          6,578       -4,78798
            261            261          6,911       -4,78331
            262            262          7,244       -4,78173
            263            263          7,578       -4,78089
            264            264          7,911       -4,78191
            265            265          8,244       -4,78289
            266            266          8,577       -4,78401
            267            267          8,910       -4,78556
            268            268          9,243       -4,78744
            269            269          9,576        -4,7892
            270            270          9,909       -4,79109
            271            271         10,242       -4,79308
            272            272         10,575       -4,79557
            273            273         10,908       -4,79792
            274            274         11,241        -4,8003
            275            275         11,574       -4,80263
            276            276         11,907       -4,80538
            277            277         12,240       -4,80816
            278            278         12,573       -4,81066
            279            279         12,906       -4,81267
            280            280         13,239       -4,81642
            281            281         13,572       -4,82016
            282            282         13,905       -4,82368
            283            283         14,238       -4,82718
            284            284         14,571       -4,83096
            285            285         14,904       -4,83485
            286            286         15,237       -4,83883
            287            287         15,570       -4,84272
            288            288         15,903       -4,84712
            289            289         16,236       -4,85197
            290            290         16,569       -4,85723
            291            291         16,902        -4,8624
            292            292         17,235       -4,86814
            293            293         17,568       -4,87381
            294            294         17,901       -4,87942
            295            295         18,234       -4,88499
            296            296         18,566       -4,89114
            297            297         18,899       -4,89706
            298            298         19,232       -4,90284
            299            299         19,565       -4,90831
            300            300         19,898       -4,91594
            301            301         20,231       -4,92472
            302            302         20,564       -4,93352
            303            303         20,897       -4,94258
            304            304         21,230        -4,9522
            305            305         21,563       -4,96169
            306            306         21,895       -4,97136
            307            307         22,228       -4,98116
            308            308         22,561       -4,99158
            309            309         22,894       -5,00169
            310            310         23,227       -5,01216
            311            311         23,560       -5,02327
            312            312         23,892       -5,03581
            313            313         24,225        -5,0486
            314            314         24,558       -5,06199
            315            315         24,891       -5,07601
            316            316         25,223       -5,09053
            317            317         25,556       -5,10503
            318            318         25,889       -5,12031
            319            319         26,222       -5,13622
            320            320         26,554       -5,15282
            321            321         26,887       -5,16944
            322            322         27,220       -5,18631
            323            323         27,552       -5,20319
            324            324         27,885       -5,22163
            325            325         28,217       -5,24026
            326            326         28,550       -5,25889
            327            327         28,883       -5,27754
            328            328         29,215       -5,29648
            329            329         29,548       -5,31531
            330            330         29,881       -5,33465
            331            331         30,213       -5,35506
            332            332         30,546       -5,37592
            333            333         30,878       -5,39635
            334            334         31,211       -5,41671
            335            335         31,543       -5,43704
            336            336         31,876       -5,45729
            337            337         32,209       -5,47744
            338            338         32,541       -5,49717
            339            339         32,874       -5,51663
            340            340         33,206       -5,53561
            341            341         33,539       -5,55467
            342            342         33,872       -5,57358
            343            343         34,204       -5,59238
            344            344         34,537       -5,61063
            345            345         34,869       -5,62903
            346            346         35,202       -5,64732
            347            347         35,534       -5,66568
            348            348         35,867       -5,68368
            349            349         36,200        -5,7012
            350            350         36,532       -5,71712
            351            351         36,865       -5,73206
            352            352         37,198       -5,74706
            353            353         37,530       -5,76214
            354            354         37,863       -5,77662
            355            355         38,196       -5,79003
            356            356         38,528       -5,80232
            357            357         38,861       -5,81437
            358            358         39,194       -5,82633
            359            359         39,527       -5,83768
            360            360         39,859       -5,84775
            361            361         40,192       -5,85612
            362            362         40,525       -5,86268
            363            363         40,858       -5,86783
            364            364         41,191       -5,87184
            365            365         41,524       -5,87557
            366            366         41,857       -5,87774
            367            367         42,190        -5,8788
            368            368         42,523       -5,87672
            369            369         42,856       -5,87321
            370            370         43,189       -5,86771
            371            371         43,522       -5,86121
            372            372         43,855       -5,85232
            373            373         44,189       -5,84237
            374            374         44,522       -5,83212
            375            375         44,855       -5,82189
            376            376         45,188       -5,81185
            377            377         45,522        -5,8019
            378            378         45,855       -5,79201
            379            379         46,188       -5,78244
            380            380         46,521       -5,77336
            381            381         46,855       -5,76456
            382            382         47,188       -5,75708
            383            383         47,521       -5,75073
            384            384         47,854       -5,74565
            385            385         48,187       -5,74028
            386            386         48,520       -5,73483
            387            387         48,854       -5,72957
            388            388         49,187       -5,72488
            389            389         49,520       -5,72018
            390            390         49,853       -5,71556
            391            391         50,186       -5,71086
            392            392         50,519       -5,70733
            393            393         50,852       -5,70372
            394            394         51,185       -5,70044
            395            395         51,518       -5,69755
            396            396         51,852       -5,69485
            397            397         52,185       -5,69202
            398            398         52,518       -5,68931
            399            399         52,851       -5,68671
            400            400         53,184       -5,68414
            401            401         53,517       -5,68151
            402            402         53,850       -5,67884
            403            403         54,183       -5,67618
            404            404         54,516        -5,6738
            405            405         54,849       -5,67138
            406            406         55,182       -5,66862
            407            407         55,515         -5,666
            408            408         55,849       -5,66546
            409            409         56,182       -5,66433
            410            410         56,515       -5,66316
            411            411         56,848       -5,66134
            412            412         57,181       -5,65837
            413            413         57,514       -5,65552
            414            414         57,847       -5,65274
            415            415         58,180       -5,64994
            416            416         58,513       -5,64702
            417            417         58,846       -5,64378
            418            418         59,179       -5,64102
            419            419         59,512       -5,63901
            420            420         59,845       -5,63879
            421            421         60,178       -5,63705
            422            422         60,512       -5,63284
            423            423         60,845       -5,62881
            424            424         61,178       -5,62474
            425            425         61,511       -5,62086
            426            426         61,844       -5,61691
            427            427         62,177       -5,61294
            428            428         62,510       -5,60884
            429            429         62,843       -5,60465
            430            430         63,177       -5,60031
            431            431         63,510       -5,59589
            432            432         63,843       -5,59117
            433            433         64,176       -5,58651
            434            434         64,509       -5,58188
            435            435         64,842       -5,57732
            436            436         65,175       -5,57281
            437            437         65,509       -5,56795
            438            438         65,842       -5,56359
            439            439         66,175       -5,56024
            440            440         66,508       -5,55698
            441            441         66,841       -5,55309
            442            442         67,174        -5,5478
            443            443         67,507       -5,54219
            444            444         67,841       -5,53531
            445            445         68,174       -5,52855
            446            446         68,507       -5,52151
            447            447         68,840        -5,5145
            448            448         69,173       -5,50691
            449            449         69,507       -5,49945
            450            450         69,840       -5,49159
            451            451         70,173       -5,48351
            452            452         70,507       -5,47444
            453            453         70,840       -5,46532
            454            454         71,173       -5,45593
            455            455         71,506       -5,44646
            456            456         71,840       -5,43585
            457            457         72,173       -5,42408
            458            458         72,507       -5,41073
            459            459         72,840       -5,39632
            460            460         73,173       -5,38103
            461            461         73,507       -5,36448
            462            462         73,841       -5,34611
            463            463         74,174       -5,32629
            464            464         74,508       -5,30256
            465            465         74,842        -5,2772
            466            466         75,176       -5,24884
            467            467         75,510       -5,21702
            468            468         75,844        -5,1808
            469            469         76,178       -5,14016
            470            470         76,512       -5,09465
            471            471         76,847       -5,04538
            472            472         77,182       -4,98588
