ClaudiaOlga_DSC_GR26-PLAA                                       02.12.2022 14:16
________________________________________________________________________________



Curve Name:
  ClaudiaOlga_DSC_GR26-PLAA, 02.12.2022 14:11:17
  Performed 02.12.2022 14:11:17
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        -79,996       0,789586
              1              1        -79,662       0,852369
              2              2        -79,327        1,20742
              3              3        -78,990        1,78661
              4              4        -78,654        2,23558
              5              5        -78,320         2,3382
              6              6        -77,988        2,06632
              7              7        -77,658        1,58559
              8              8        -77,328       0,886959
              9              9        -76,999       0,200196
             10             10        -76,669      -0,429262
             11             11        -76,339         -1,005
             12             12        -76,009       -1,45333
             13             13        -75,678       -1,84674
             14             14        -75,347       -2,17806
             15             15        -75,015       -2,47062
             16             16        -74,683       -2,69931
             17             17        -74,351        -2,8966
             18             18        -74,019       -3,05766
             19             19        -73,687       -3,19065
             20             20        -73,354       -3,29965
             21             21        -73,022         -3,395
             22             22        -72,689       -3,47816
             23             23        -72,356       -3,55072
             24             24        -72,023        -3,6041
             25             25        -71,691       -3,64828
             26             26        -71,358       -3,68726
             27             27        -71,025       -3,72102
             28             28        -70,692         -3,747
             29             29        -70,359       -3,77053
             30             30        -70,026       -3,78711
             31             31        -69,693       -3,79992
             32             32        -69,360       -3,81508
             33             33        -69,026        -3,8255
             34             34        -68,693       -3,83283
             35             35        -68,360       -3,83585
             36             36        -68,027       -3,83635
             37             37        -67,694       -3,83681
             38             38        -67,361         -3,836
             39             39        -67,028       -3,83466
             40             40        -66,694       -3,83522
             41             41        -66,361       -3,83361
             42             42        -66,028        -3,8299
             43             43        -65,695       -3,82956
             44             44        -65,362       -3,82538
             45             45        -65,028       -3,82116
             46             46        -64,695       -3,81694
             47             47        -64,362       -3,81262
             48             48        -64,029       -3,80839
             49             49        -63,696        -3,8038
             50             50        -63,362       -3,79758
             51             51        -63,029       -3,79447
             52             52        -62,696       -3,78898
             53             53        -62,363       -3,78489
             54             54        -62,030       -3,78037
             55             55        -61,696       -3,77287
             56             56        -61,363       -3,76417
             57             57        -61,030       -3,75824
             58             58        -60,697        -3,7524
             59             59        -60,364       -3,74626
             60             60        -60,030       -3,74029
             61             61        -59,697        -3,7343
             62             62        -59,364       -3,72837
             63             63        -59,031       -3,72257
             64             64        -58,698        -3,7194
             65             65        -58,364       -3,71512
             66             66        -58,031       -3,70751
             67             67        -57,698       -3,70011
             68             68        -57,365       -3,69556
             69             69        -57,032       -3,69048
             70             70        -56,698       -3,68533
             71             71        -56,365       -3,67999
             72             72        -56,032       -3,67479
             73             73        -55,699       -3,66956
             74             74        -55,366       -3,66437
             75             75        -55,032       -3,65925
             76             76        -54,699       -3,65305
             77             77        -54,366       -3,64677
             78             78        -54,033       -3,64017
             79             79        -53,699       -3,63316
             80             80        -53,366       -3,63022
             81             81        -53,033       -3,62609
             82             82        -52,700       -3,62102
             83             83        -52,367       -3,61557
             84             84        -52,033       -3,60679
             85             85        -51,700       -3,60212
             86             86        -51,367       -3,59806
             87             87        -51,034       -3,59401
