Ruben_CUTESTEACE                                                13.01.2022 12:11
________________________________________________________________________________



Curve Name:
  Ruben_CUTESTEACE, 13.01.2022 12:08:47
  Performed 13.01.2022 12:08:46
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9969        1,10935
              7              7       -97,6472        6,47542
             14             14        -95,344       -3,28759
             21             21       -93,0238        -6,8053
             28             28       -90,6962        -7,8575
             35             35       -88,3659        -8,1137
             42             42       -86,0347       -8,11498
             49             49       -83,7031       -8,04254
             56             56       -81,3716       -7,97235
             63             63       -79,0402       -7,92567
             70             70        -76,709       -7,92453
             77             77       -74,3781       -7,97465
             84             84       -72,0476       -8,07812
             91             91       -69,7181        -8,3274
             98             98       -67,3899       -8,75965
            105            105       -65,0639       -9,47675
            112            112       -62,7403       -10,4814
            119            119       -60,4174       -11,4785
            126            126       -58,0923        -12,115
            133            133       -55,7643       -12,3379
            140            140       -53,4341       -12,2604
            147            147       -51,1022       -11,9988
            154            154       -48,7697       -11,6685
            161            161       -46,4372       -11,3615
            168            168       -44,1052       -11,1281
            175            175       -41,7739       -10,9824
            182            182       -39,4434       -10,9136
            189            189       -37,1133       -10,8831
            196            196       -34,7832       -10,8541
            203            203       -32,4531       -10,8277
            210            210       -30,1229       -10,7903
            217            217       -27,7927        -10,747
            224            224       -25,4625       -10,7062
            231            231       -23,1323       -10,6686
            238            238       -20,8022       -10,6331
            245            245       -18,4725       -10,6313
            252            252       -16,1435       -10,6792
            259            259       -13,8149       -10,7446
            266            266       -11,4856       -10,7603
            273            273       -9,15516       -10,6962
            280            280       -6,82358       -10,5565
            287            287       -4,49125       -10,3748
            294            294       -2,15881       -10,1936
            301            301       0,173438       -10,0331
            308            308        2,50532       -9,90211
            315            315        4,83678       -9,80152
            322            322        7,16804        -9,7177
            329            329        9,49924       -9,63991
            336            336        11,8302       -9,57794
            343            343         14,161       -9,52772
            350            350        16,4919       -9,47788
            357            357        18,8226       -9,43739
            364            364        21,1532       -9,40571
            371            371        23,4837       -9,37555
            378            378        25,8149       -9,31432
            385            385        28,1453       -9,29768
            392            392        30,4755        -9,2877
            399            399        32,8058       -9,27411
            406            406        35,1361       -9,25986
            413            413        37,4664       -9,24726
            420            420        39,7966       -9,23921
            427            427        42,1267       -9,23353
            434            434        44,4568        -9,2322
            441            441        46,7867       -9,23616
            448            448        49,1166       -9,24348
            455            455        51,4465       -9,24886
            462            462        53,7764       -9,25219
            469            469        56,1063       -9,26041
            476            476         58,436       -9,26995
            483            483        60,7658       -9,27917
            490            490        63,0959       -9,27013
            497            497        65,4258       -9,27019
            504            504        67,7555       -9,27662
            511            511        70,0853       -9,28327
            518            518         72,415       -9,29104
            525            525        74,7446       -9,30486
            532            532        77,0741       -9,32038
            539            539        79,4036       -9,33661
            546            546        81,7331       -9,35223
            553            553        84,0626       -9,36781
            560            560        86,3922       -9,38388
            567            567        88,7216       -9,40185
            574            574         91,051       -9,42317
            581            581        93,3804       -9,44285
            588            588        95,7097       -9,46612
            595            595        98,0389       -9,49195
            602            602        100,368       -9,51565
            609            609        102,698       -9,53728
            616            616        105,027       -9,55936
            623            623        107,356       -9,57909
            630            630        109,686       -9,59926
            637            637        112,015       -9,61503
            644            644        114,345       -9,62907
            651            651        116,674       -9,64777
            658            658        119,004       -9,66161
            665            665        121,334       -9,67387
            672            672        123,663       -9,68248
            679            679        125,993       -9,68958
            686            686        128,323       -9,69611
            693            693        130,653       -9,69891
            700            700        132,983       -9,69826
            707            707        135,314       -9,69321
            714            714        137,644       -9,68758
            721            721        139,975       -9,67839
            728            728        142,306       -9,65182
            735            735        144,637       -9,62967
            742            742        146,967       -9,62466
