Ruben_CutACE                                                    13.01.2022 13:08
________________________________________________________________________________



Curve Name:
  Ruben_CutACE, 13.01.2022 13:06:01
  Performed 13.01.2022 13:06:01
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9959        1,48685
              7              7       -97,6483        6,09791
             14             14       -95,3437       -3,17465
             21             21       -93,0223       -6,35193
             28             28       -90,6935       -7,12594
             35             35       -88,3629       -7,37175
             42             42       -86,0314        -7,3439
             49             49       -83,6995       -7,24613
             56             56       -81,3677       -7,15496
             63             63       -79,0359       -7,08639
             70             70       -76,7044       -7,06756
             77             77       -74,3732       -7,09408
             84             84       -72,0424        -7,1903
             91             91       -69,7126       -7,44257
             98             98       -67,3841        -7,8681
            105            105       -65,0586        -8,6887
            112            112       -62,7349       -9,70632
            119            119       -60,4108       -10,5738
            126            126       -58,0839       -11,0115
            133            133       -55,7542       -11,0571
            140            140       -53,4224       -10,8376
            147            147       -51,0894       -10,4938
            154            154        -48,756       -10,1215
            161            161       -46,4229       -9,80029
            168            168       -44,0904        -9,5683
            175            175       -41,7588       -9,43656
            182            182       -39,4281       -9,39098
            189            189       -37,0978       -9,39821
            196            196       -34,7677       -9,41801
            203            203       -32,4377        -9,4393
            210            210       -30,1076        -9,4454
            217            217       -27,7772       -9,42632
            224            224       -25,4465       -9,37842
            231            231       -23,1154       -9,30476
            238            238       -20,7847       -9,26168
            245            245       -18,4554        -9,3238
            252            252       -16,1262       -9,39056
            259            259       -13,7955       -9,33979
            266            266       -11,4641       -9,24415
            273            273       -9,13296       -9,16546
            280            280       -6,80199       -9,10389
            287            287       -4,47059       -9,01743
            294            294       -2,13851       -8,89098
            301            301       0,193908        -8,7486
            308            308         2,5262       -8,62071
            315            315        4,85816       -8,51808
            322            322         7,1897       -8,44437
            329            329        9,52099       -8,38764
            336            336        11,8521       -8,34443
            343            343        14,1831        -8,3078
            350            350         16,514       -8,27988
            357            357        18,8448       -8,25785
            364            364        21,1754       -8,24248
            371            371         23,506       -8,23408
            378            378        25,8366       -8,22522
            385            385         28,167       -8,22184
            392            392        30,4974       -8,22235
            399            399        32,8277       -8,22774
            406            406         35,158        -8,2299
            413            413        37,4884       -8,23189
            420            420        39,8187       -8,23445
            427            427        42,1489         -8,241
            434            434        44,4791       -8,25049
            441            441        46,8092       -8,26308
            448            448        49,1392       -8,28081
            455            455        51,4691       -8,29819
            462            462        53,7989       -8,32258
            469            469        56,1287       -8,34648
            476            476        58,4584       -8,36962
            483            483        60,7882       -8,39155
            490            490        63,1178       -8,41358
            497            497        65,4474       -8,43898
            504            504        67,7769       -8,46583
            511            511        70,1064       -8,49277
            518            518        72,4359        -8,5208
            525            525        74,7653       -8,55061
            532            532        77,0947        -8,5806
            539            539         79,424       -8,61223
            546            546        81,7533       -8,64375
            553            553        84,0827       -8,67475
            560            560        86,4119        -8,7075
            567            567        88,7412       -8,74065
            574            574        91,0704       -8,77391
            581            581        93,3996       -8,81007
            588            588        95,7287       -8,84551
            595            595        98,0578        -8,8824
            602            602        100,387        -8,9238
            609            609        102,716       -8,96612
            616            616        105,044       -9,01043
            623            623        107,373       -9,05633
            630            630        109,702       -9,10253
            637            637        112,031       -9,14796
            644            644        114,359       -9,19698
            651            651        116,688       -9,24662
            658            658        119,016         -9,292
            665            665        121,345       -9,33382
            672            672        123,674        -9,3726
            679            679        126,003       -9,41062
            686            686        128,332       -9,44551
            693            693        130,661       -9,47833
            700            700         132,99       -9,50628
            707            707         135,32       -9,52947
            714            714        137,649       -9,54759
            721            721        139,979       -9,56338
            728            728        142,309        -9,5754
            735            735        144,639       -9,58415
            742            742        146,969       -9,59381
            749            749        149,298        -9,6126
            756            756        151,624       -9,72849
            763            763        153,951       -9,81961
            770            770        156,286       -9,69937
            777            777        158,618       -9,65657
            784            784        160,949       -9,64036
            791            791        163,279       -9,64495
            798            798        165,609       -9,66011
            805            805        167,938       -9,68344
            812            812        170,267       -9,70865
            819            819        172,597       -9,73123
            826            826        174,926       -9,75413
            833            833        177,256       -9,78178
            840            840        179,585       -9,81547
            847            847        181,914       -9,84771
            854            854        184,243       -9,88125
            861            861        186,571        -9,9223
            868            868          188,9       -9,96647
            875            875        191,228       -10,0099
            882            882        193,557       -10,0535
            889            889        195,885       -10,1082
            896            896        198,213       -10,1703
            903            903        198,475       -11,7361
            910            910        196,659      -0,170288
            917            917        194,573        5,43132
            924            924        192,324         7,3928
            931            931         190,02        8,10598
            938            938        187,696        8,39333
            945            945        185,366        8,52865
            952            952        183,034        8,60269
            959            959          180,7        8,64813
            966            966        178,365        8,67876
            973            973         176,03        8,69948
            980            980        173,695        8,71297
            987            987        171,359        8,71714
            994            994        169,023        8,70789
           1001           1001        166,686        8,68777
           1008           1008        164,349        8,66113
           1015           1015        162,011        8,63199
           1022           1022        159,674        8,60521
           1029           1029        157,338        8,58586
           1036           1036        155,001        8,57814
           1043           1043        152,665        8,58147
           1050           1050        150,329        8,57799
           1057           1057        147,993        8,56727
           1064           1064        145,656        8,55548
           1071           1071         143,32        8,54082
           1078           1078        140,982        8,50699
           1085           1085        138,645        8,46319
           1092           1092        136,308        8,44325
           1099           1099        133,972         8,4397
           1106           1106        131,635        8,43382
           1113           1113        129,299        8,43968
           1120           1120        126,964        8,45156
           1127           1127        124,628        8,45532
           1134           1134        122,291        8,45381
           1141           1141        119,955        8,44259
           1148           1148        117,618        8,41141
           1155           1155         115,28        8,36606
           1162           1162        112,941        8,27369
           1169           1169        110,602        8,18206
           1176           1176        108,264        8,12702
           1183           1183        105,927        8,10773
           1190           1190        103,591         8,1104
           1197           1197        101,255        8,10586
           1204           1204         98,918        8,08995
           1211           1211        96,5811        8,06709
           1218           1218        94,2441        8,03767
           1225           1225         91,907        8,00669
           1232           1232        89,5699        7,97638
           1239           1239        87,2329        7,94765
           1246           1246        84,8959        7,91969
           1253           1253         82,559        7,89453
           1260           1260        80,2223        7,87592
           1267           1267        77,8857        7,86086
           1274           1274        75,5491        7,84395
           1281           1281        73,2124        7,82546
           1288           1288        70,8757        7,80722
           1295           1295        68,5392        7,79511
           1302           1302        66,2027         7,7837
           1309           1309        63,8663        7,77687
           1316           1316        61,5299          7,772
           1323           1323        59,1936        7,76508
           1330           1330        56,8573        7,75678
           1337           1337         54,521        7,75184
           1344           1344        52,1849        7,75176
           1351           1351        49,8487        7,74594
           1358           1358        47,5124        7,73953
           1365           1365        45,1763        7,73558
           1372           1372          42,84        7,73041
           1379           1379        40,5038        7,72625
           1386           1386        38,1678         7,7279
           1393           1393        35,8302        7,65769
           1400           1400        33,4943        7,66632
           1407           1407        31,1593        7,71931
           1414           1414        28,8237         7,7424
           1421           1421        26,4879        7,75818
           1428           1428        24,1521        7,77481
           1435           1435        21,8161        7,77901
           1442           1442        19,4804        7,80377
           1449           1449         17,145        7,84001
           1456           1456        14,8095        7,87718
           1463           1463        12,4739        7,90461
           1470           1470         10,138        7,92079
           1477           1477        7,80211        7,93876
           1484           1484        5,46629        7,95982
           1491           1491         3,1305        7,98361
           1498           1498       0,794758        8,01159
           1505           1505       -1,54087        8,04837
           1512           1512       -3,87652          8,085
           1519           1519       -6,21204        8,13204
           1526           1526       -8,54751         8,1852
           1533           1533       -10,8829        8,24979
           1540           1540        -13,218        8,33034
           1547           1547        -15,553        8,42213
           1554           1554       -17,8878        8,53604
           1561           1561       -20,2225        8,66427
           1568           1568       -22,5569        8,81521
           1575           1575       -24,8916        8,94694
           1582           1582       -27,2267         9,0577
           1589           1589       -29,5621        9,13811
           1596           1596        -31,898         9,1786
           1603           1603       -34,2343        9,18427
           1610           1610       -36,5702        9,22838
           1617           1617       -38,9061        9,27261
           1624           1624       -41,2416        9,34604
           1631           1631        -43,577          9,442
           1638           1638       -45,9122        9,56369
           1645           1645        -48,247        9,72743
           1652           1652       -50,5818        9,91386
           1659           1659       -52,9165        10,1075
           1666           1666       -55,2516        10,2693
           1673           1673       -57,5874        10,3525
           1680           1680       -59,9243        10,2788
           1687           1687       -62,2628        9,97053
           1694           1694       -64,6031        9,37932
           1701           1701       -66,9445        8,54956
           1708           1708       -69,2853        7,72607
           1715           1715        -71,625        7,02435
           1722           1722       -73,9634        6,47488
           1729           1729       -76,3008         6,0561
           1736           1736       -78,6373        5,74945
           1743           1743       -80,9733         5,5265
           1750           1750       -83,3088        5,35951
           1757           1757       -85,6441        5,23418
           1764           1764       -87,9792        5,12139
           1771           1771       -90,3142        5,02922
           1778           1778       -92,6491        4,95132
           1785           1785        -94,984        4,84849
           1792           1792       -97,3189        4,73884
           1799           1799       -99,6537        4,63059
           1806           1806       -97,9863        4,60923
           1813           1813       -95,6521        4,53388
           1820           1820        -93,299        9,89703
           1827           1827       -90,9835        4,42182
           1834           1834       -88,6739       -1,81436
           1841           1841       -86,3532       -4,68601
           1848           1848       -84,0262       -5,82269
           1855           1855       -81,6964       -6,23516
           1862           1862       -79,3649        -6,2704
           1869           1869       -77,0331       -6,24025
           1876           1876       -74,7012       -6,20345
           1883           1883       -72,3695       -6,17858
           1890           1890        -70,038       -6,20196
           1897           1897       -67,7069       -6,27601
           1904           1904       -65,3766       -6,45722
           1911           1911       -63,0477       -6,83128
           1918           1918       -60,7215       -7,52901
           1925           1925       -58,3978       -8,51433
           1932           1932        -56,074       -9,39507
           1939           1939       -53,7469       -9,81822
           1946           1946       -51,4165        -9,8136
           1953           1953        -49,084       -9,56551
           1960           1960       -46,7503       -9,19884
           1967           1967       -44,4164       -8,83421
           1974           1974       -42,0829       -8,53201
           1981           1981       -39,7507       -8,36886
           1988           1988       -37,4199       -8,35404
           1995           1995         -35,09       -8,42367
           2002           2002       -32,7604       -8,51461
           2009           2009       -30,4308       -8,58736
           2016           2016       -28,1008       -8,63407
           2023           2023       -25,7705       -8,64082
           2030           2030       -23,4397       -8,61332
           2037           2037       -21,1086       -8,54927
           2044           2044       -18,7769       -8,45489
           2051           2051       -16,4455       -8,37483
           2058           2058       -14,1152       -8,38414
           2065           2065        -11,785       -8,39734
           2072           2072        -9,4537         -8,327
           2079           2079       -7,12213       -8,24496
           2086           2086       -4,79075       -8,17927
           2093           2093       -2,45909       -8,09874
           2100           2100      -0,126799       -7,98189
           2107           2107        2,20588       -7,84659
           2114           2114        4,53847       -7,72242
           2121           2121        6,87069       -7,62466
           2128           2128        9,20261       -7,54904
           2135           2135        11,5342       -7,49373
           2142           2142        13,8657       -7,45017
           2149           2149         16,197       -7,41175
           2156           2156        18,5282       -7,38386
           2163           2163        20,8593       -7,36228
           2170           2170        23,1904       -7,34345
           2177           2177        25,5214        -7,3302
           2184           2184        27,8523       -7,32023
           2191           2191        30,1832       -7,31261
           2198           2198         32,514       -7,30597
           2205           2205        34,8449       -7,29875
           2212           2212        37,1757       -7,29411
           2219           2219        39,5065       -7,28934
           2226           2226        41,8374       -7,28526
           2233           2233        44,1681       -7,28414
           2240           2240        46,4988       -7,28546
           2247           2247        48,8295       -7,28663
           2254           2254        51,1602       -7,28932
           2261           2261        53,4908         -7,294
           2268           2268        55,8214       -7,29789
           2275           2275         58,152       -7,30492
           2282           2282        60,4826       -7,30874
           2289           2289        62,8131       -7,31137
           2296           2296        65,1436       -7,31469
           2303           2303        67,4741       -7,32195
           2310           2310        69,8045       -7,32981
           2317           2317         72,135       -7,33732
           2324           2324        74,4654       -7,34646
           2331           2331        76,7957        -7,3568
           2338           2338        79,1261       -7,36825
           2345           2345        81,4564       -7,38011
           2352           2352        83,7867       -7,39371
           2359           2359         86,117       -7,40939
           2366           2366        88,4472       -7,42341
           2373           2373        90,7775       -7,43834
           2380           2380        93,1078       -7,45297
           2387           2387         95,438       -7,46913
           2394           2394        97,7682       -7,48698
           2401           2401        100,098       -7,50652
           2408           2408        102,428       -7,52717
           2415           2415        104,758       -7,54774
           2422           2422        107,088       -7,56861
           2429           2429        109,418       -7,59039
           2436           2436        111,748       -7,61325
           2443           2443        114,078       -7,63572
           2450           2450        116,409       -7,65553
           2457           2457        118,739       -7,66637
           2464           2464        121,069       -7,68605
           2471           2471        123,399       -7,70632
           2478           2478        125,729       -7,72786
           2485           2485        128,059       -7,75174
           2492           2492        130,389       -7,77544
           2499           2499        132,719         -7,799
           2506           2506        135,049       -7,82306
           2513           2513        137,379       -7,84768
           2520           2520        139,709       -7,87124
           2527           2527        142,039       -7,89379
           2534           2534        144,369       -7,91624
           2541           2541        146,699        -7,9392
           2548           2548        149,028        -7,9646
           2555           2555        151,358       -7,99205
           2562           2562        153,688       -8,02223
           2569           2569        156,017       -8,05137
           2576           2576        158,347       -8,08106
           2583           2583        160,677        -8,1071
           2590           2590        163,007        -8,1313
           2597           2597        165,337       -8,15835
           2604           2604        167,666       -8,18874
           2611           2611        169,996       -8,22015
           2618           2618        172,325       -8,25158
