Ruben_CutacPLA40                                                16.11.2021 13:42
________________________________________________________________________________



Curve Name:
  Ruben_CutacPLA40, 16.11.2021 13:37:56
  Performed 16.11.2021 13:37:56
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9888         4,0352
              7              7       -97,6072         19,787
             14             14       -95,2966        11,2786
             21             21       -92,9845        4,43577
             28             28       -90,6637       0,776247
             35             35       -88,3374        -1,0239
             42             42       -86,0081       -1,89424
             49             49        -83,677       -2,27899
             56             56       -81,3452       -2,46782
             63             63       -79,0129       -2,54801
             70             70       -76,6805       -2,59301
             77             77       -74,3479         -2,603
             84             84       -72,0154       -2,60574
             91             91       -69,6828       -2,60905
             98             98       -67,3502       -2,61887
            105            105       -65,0178       -2,63863
            112            112       -62,6854       -2,66237
            119            119        -60,353       -2,68588
            126            126       -58,0209       -2,74112
            133            133       -55,6891       -2,83256
            140            140       -53,3576       -2,95823
            147            147       -51,0264       -3,10048
            154            154       -48,6952       -3,23316
            161            161       -46,3639       -3,34354
            168            168       -44,0323        -3,4167
            175            175       -41,7003       -3,44807
            182            182        -39,368       -3,43705
            189            189       -37,0354       -3,40243
            196            196       -34,7026       -3,35221
            203            203         -32,37       -3,31692
            210            210       -30,0376       -3,29897
            217            217       -27,7056       -3,31817
            224            224        -25,374       -3,37144
            231            231       -23,0426       -3,43149
            238            238       -20,7111       -3,48319
            245            245       -18,3795        -3,5291
            252            252        -16,048       -3,56887
            259            259       -13,7161       -3,58428
            266            266       -11,3842       -3,59835
            273            273       -9,05229       -3,60485
            280            280       -6,72016       -3,59909
            287            287       -4,38799       -3,59067
            294            294       -2,05584       -3,58458
            301            301       0,276398       -3,57267
            308            308        2,60866       -3,55985
            315            315        4,94092       -3,54804
            322            322        7,27323       -3,53338
            329            329        9,60547       -3,52366
            336            336        11,9377       -3,51497
            343            343        14,2699       -3,50818
            350            350         16,602       -3,50643
            357            357        18,9341       -3,50809
            364            364        21,2661       -3,51185
            371            371         23,598       -3,51737
            378            378        25,9299       -3,52957
            385            385        28,2616       -3,54584
            392            392        30,5932       -3,56929
            399            399        32,9246       -3,59806
            406            406         35,256       -3,62894
            413            413        37,5873       -3,66596
            420            420        39,9183        -3,7122
            427            427        42,2489        -3,7735
            434            434         44,579       -3,85722
            441            441        46,9079       -3,98861
            448            448        49,2352       -4,18563
            455            455        51,5615       -4,41755
            462            462        53,8899       -4,55655
            469            469        56,2216       -4,55741
            476            476         58,555       -4,48782
            483            483        60,8883       -4,42659
            490            490        63,2207       -4,39775
            497            497        65,5524       -4,39596
            504            504        67,8837       -4,41356
            511            511        70,2147       -4,44025
            518            518        72,5455       -4,47226
            525            525        74,8764       -4,50307
            532            532        77,2072       -4,53397
            539            539        79,5381       -4,56363
            546            546         81,869       -4,58919
            553            553           84,2       -4,61291
            560            560         86,531       -4,63634
            567            567         88,862       -4,66029
            574            574        91,1931       -4,68126
            581            581        93,5241       -4,70271
            588            588        95,8551       -4,72504
            595            595        98,1861       -4,74715
            602            602        100,517       -4,76851
            609            609        102,848       -4,78941
            616            616        105,179        -4,8117
            623            623         107,51        -4,8365
            630            630        109,841       -4,86067
            637            637        112,172       -4,88644
            644            644        114,502       -4,91537
            651            651        116,833       -4,95011
            658            658        119,163       -4,99008
            665            665        121,493       -5,03214
            672            672        123,823       -5,07789
            679            679        126,153       -5,12799
            686            686        128,483        -5,1816
            693            693        130,813       -5,23937
            700            700        133,141       -5,31936
            707            707        135,468       -5,46355
            714            714         137,79       -5,72044
            721            721        140,106       -6,13639
            728            728        142,413       -6,79378
            735            735        144,707       -7,75897
            742            742        146,988       -9,07288
            749            749        149,258        -10,666
            756            756        151,504       -12,8406
            763            763        153,874       -11,7975
            770            770        156,318        -8,8889
            777            777        158,728       -6,87488
            784            784        161,089       -6,11596
            791            791        163,438       -5,67971
            798            798        165,777       -5,50396
            805            805        168,111       -5,44277
            812            812        170,446       -5,37116
            819            819        172,779       -5,32567
            826            826        175,112       -5,31534
            833            833        177,443       -5,32189
            840            840        179,774       -5,33146
            847            847        182,106       -5,34288
            854            854        184,437        -5,3601
            861            861        186,767       -5,38261
            868            868        189,098       -5,40516
            875            875        191,429       -5,42908
            882            882        193,759       -5,45735
            889            889         196,09       -5,49194
            896            896         198,42       -5,52699
            903            903        198,357       -14,3968
            910            910        196,351       -7,11914
            917            917        194,346       0,289551
            924            924        192,159        3,63296
            931            931        189,886        5,03732
            938            938        187,577        5,63382
            945            945        185,253        5,88611
            952            952        182,922        5,98779
            959            959        180,589        6,02788
            966            966        178,254        6,03799
            973            973        175,919        6,03466
            980            980        173,583        6,02502
            987            987        171,247        6,00867
            994            994        168,911          5,988
           1001           1001        166,575        5,95994
           1008           1008        164,238        5,92305
           1015           1015        161,902        5,89043
           1022           1022        159,566        5,86265
           1029           1029        157,229        5,83255
           1036           1036        154,893        5,80085
           1043           1043        152,557        5,77165
           1050           1050        150,221        5,75745
           1057           1057        147,885        5,73993
           1064           1064        145,548        5,69977
           1071           1071        143,212        5,66665
           1078           1078        140,877        5,66373
           1085           1085         138,54        5,62811
           1092           1092        136,204        5,59129
           1099           1099        133,869        5,59759
           1106           1106        131,535        5,63143
           1113           1113        129,201        5,66202
           1120           1120        126,866        5,67598
           1127           1127        124,531        5,67531
           1134           1134        122,195         5,6409
           1141           1141        119,858        5,59926
           1148           1148        117,522        5,58567
           1155           1155        115,187         5,5831
           1162           1162        112,851        5,55699
           1169           1169        110,515        5,53464
           1176           1176        108,179        5,51019
           1183           1183        105,843        5,48616
           1190           1190        103,507        5,46453
           1197           1197        101,171         5,4497
           1204           1204        98,8355        5,43512
           1211           1211        96,4997        5,41504
           1218           1218        94,1637        5,39233
           1225           1225        91,8276        5,36326
           1232           1232        89,4914        5,32828
           1239           1239        87,1552        5,29565
           1246           1246        84,8192        5,26851
           1253           1253        82,4835        5,25232
           1260           1260         80,148        5,24303
           1267           1267        77,8125        5,23402
           1274           1274        75,4766         5,2082
           1281           1281        73,1413        5,20629
           1288           1288         70,806        5,20203
           1295           1295        68,4704        5,19109
           1302           1302        66,1348        5,17667
           1309           1309        63,7992        5,16434
           1316           1316        61,4636        5,14896
           1323           1323         59,128        5,13451
           1330           1330        56,7925           5,12
           1337           1337         54,457        5,10528
           1344           1344        52,1212        5,08073
           1351           1351        49,7854        5,05063
           1358           1358        47,4494        5,01701
           1365           1365         45,113        4,96008
           1372           1372        42,7759        4,87129
           1379           1379        40,4391        4,79054
           1386           1386        38,1037        4,77728
           1393           1393        35,7634        4,53081
           1400           1400        33,4243        4,33461
           1407           1407        31,0862        4,17471
           1414           1414        28,7488        4,05146
           1421           1421        26,4122        3,95632
           1428           1428        24,0759        3,87728
           1435           1435        21,7397        3,80461
           1442           1442        19,4038        3,74065
           1449           1449        17,0684         3,7003
           1456           1456        14,7334         3,6827
           1463           1463        12,3985        3,66669
           1470           1470        10,0636        3,64874
           1477           1477        7,72846        3,62181
           1484           1484        5,39329        3,58943
           1491           1491        3,05825         3,5634
           1498           1498       0,723215        3,53684
           1505           1505        -1,6118        3,51051
           1512           1512       -3,94669        3,49064
           1519           1519       -6,28147        3,47717
           1526           1526       -8,61624        3,46427
           1533           1533        -10,951        3,45161
           1540           1540       -13,2857        3,44404
           1547           1547       -15,6203        3,44022
           1554           1554       -17,9548        3,43891
           1561           1561       -20,2893        3,44031
           1568           1568       -22,6238        3,44535
           1575           1575       -24,9581        3,45606
           1582           1582       -27,2926        3,46026
           1589           1589        -29,627        3,46452
           1596           1596       -31,9616        3,45749
           1603           1603        -34,296        3,46011
           1610           1610       -36,6306        3,45108
           1617           1617       -38,9652        3,43297
           1624           1624       -41,2995        3,44372
           1631           1631        -43,634        3,43512
           1638           1638       -45,9685        3,43025
           1645           1645       -48,3029        3,43338
           1652           1652       -50,6373        3,43264
           1659           1659       -52,9717        3,42675
           1666           1666       -55,3062        3,40728
           1673           1673       -57,6407        3,39302
           1680           1680        -59,975        3,38877
           1687           1687       -62,3094        3,38738
           1694           1694       -64,6435         3,4094
           1701           1701       -66,9782        3,36011
           1708           1708       -69,3132        3,24012
           1715           1715       -71,6483        3,09507
           1722           1722       -73,9833        2,94795
           1729           1729       -76,3182        2,81626
           1736           1736       -78,6529        2,69261
           1743           1743       -80,9874        2,60173
           1750           1750       -83,3219        2,50847
           1757           1757       -85,6561        2,44381
           1764           1764        -87,988        2,95599
           1771           1771       -90,3222          2,934
           1778           1778       -92,6572        2,67188
           1785           1785       -94,9916         2,5498
           1792           1792       -97,3258        2,47694
           1799           1799       -99,6599        2,41932
           1806           1806       -97,9928        2,41337
