Ruben_CutestEACPLA20                                            16.11.2021 17:48
________________________________________________________________________________



Curve Name:
  Ruben_CutestEACPLA20, 16.11.2021 17:42:18
  Performed 16.11.2021 17:42:17
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9943        2,07278
              7              7       -97,6441        7,49112
             14             14       -95,3344      -0,327229
             21             21       -93,0142       -4,04316
             28             28       -90,6871       -5,44485
             35             35       -88,3571       -5,91413
             42             42       -86,0255       -5,97719
             49             49       -83,6935        -5,9262
             56             56       -81,3613       -5,83393
             63             63        -79,029       -5,72747
             70             70       -76,6968       -5,64917
             77             77       -74,3646       -5,56494
             84             84       -72,0323       -5,48371
             91             91       -69,7001       -5,41672
             98             98        -67,368        -5,3773
            105            105        -65,036       -5,34178
            112            112       -62,7041       -5,32687
            119            119       -60,3723       -5,32341
            126            126       -58,0407       -5,33955
            133            133       -55,7091       -5,36689
            140            140       -53,3777       -5,39971
            147            147       -51,0461       -5,41574
            154            154       -48,7145       -5,41856
            161            161       -46,3828        -5,4109
            168            168       -44,0509       -5,38861
            175            175        -41,719        -5,3597
            182            182       -39,3871       -5,32929
            189            189       -37,0552       -5,30731
            196            196       -34,7234       -5,28854
            203            203       -32,3917       -5,27958
            210            210         -30,06       -5,26993
            217            217       -27,7284       -5,26777
            224            224       -25,3968       -5,26038
            231            231       -23,0652       -5,25551
            238            238       -20,7336       -5,24862
            245            245        -18,402       -5,24193
            252            252       -16,0704       -5,23857
            259            259       -13,7389       -5,23875
            266            266       -11,4074       -5,23622
            273            273       -9,07599       -5,23886
            280            280       -6,74453       -5,23869
            287            287       -4,41295       -5,23084
            294            294       -2,08135        -5,2221
            301            301       0,250206       -5,21612
            308            308        2,58176       -5,21094
            315            315        4,91328       -5,20771
            322            322        7,24478       -5,20607
            329            329        9,57606       -5,21694
            336            336        11,9073       -5,22765
            343            343        14,2386         -5,239
            350            350        16,5698       -5,25176
            357            357         18,901        -5,2654
            364            364        21,2322       -5,28075
            371            371        23,5633       -5,29826
            378            378        25,8944       -5,31629
            385            385        28,2252        -5,3446
            392            392         30,556       -5,37802
            399            399        32,8865       -5,42035
            406            406        35,2167       -5,47692
            413            413        37,5464        -5,5541
            420            420        39,8752       -5,66689
            427            427        42,2034       -5,80903
            434            434         44,531       -5,96858
            441            441        46,8593       -6,09451
            448            448        49,1893       -6,14186
            455            455        51,5205       -6,14139
            462            462        53,8516       -6,14035
            469            469        56,1818       -6,17965
            476            476        58,5111       -6,25147
            483            483        60,8406       -6,31608
            490            490         63,171       -6,33778
            497            497        65,5019       -6,33919
            504            504        67,8325       -6,35586
            511            511        70,1629       -6,37916
            518            518        72,4931       -6,40677
            525            525        74,8233       -6,43592
            532            532        77,1535       -6,46652
            539            539        79,4835       -6,49934
            546            546         81,813       -6,55135
            553            553        84,1434        -6,5724
            560            560        86,4737       -6,59654
            567            567        88,8039       -6,62229
            574            574        91,1342        -6,6472
            581            581        93,4643       -6,67485
            588            588        95,7944       -6,70368
            595            595        98,1246       -6,73099
            602            602        100,455       -6,75633
            609            609        102,785       -6,77899
            616            616        105,115       -6,80322
            623            623        107,445       -6,82711
            630            630        109,776       -6,85074
            637            637        112,106       -6,87546
            644            644        114,436       -6,90824
            651            651        116,765       -6,95772
            658            658        119,094       -7,02317
            665            665        121,422       -7,09477
            672            672        123,751       -7,16955
            679            679        126,079       -7,24914
            686            686        128,406       -7,35104
            693            693        130,732       -7,50201
            700            700        133,051       -7,81832
            707            707        135,362       -8,36884
            714            714        137,666       -9,09654
            721            721        139,968       -9,86776
            728            728        142,269       -10,6403
            735            735        144,563       -11,5945
            742            742        146,837       -13,0574
            749            749         149,11       -14,5314
            756            756         151,41       -15,2698
            763            763        153,785       -14,0757
            770            770        156,238       -10,9197
            777            777        158,637       -9,17248
            784            784        161,009       -8,13768
            791            791        163,356       -7,72923
            798            798        165,693       -7,58052
            805            805        168,026       -7,52555
            812            812        170,358       -7,50683
            819            819        172,689       -7,49618
            826            826        175,021       -7,48931
            833            833        177,352       -7,48782
            840            840        179,683       -7,48527
            847            847        182,014       -7,48446
            854            854        184,345       -7,48764
            861            861        186,676       -7,49417
            868            868        189,007       -7,50405
            875            875        191,337       -7,51894
            882            882        193,668        -7,5284
            889            889        195,999       -7,53366
            896            896         198,33       -7,54175
            903            903        198,523        -10,676
            910            910        196,607       -1,33427
            917            917        194,531        4,46981
            924            924        192,298        6,79552
            931            931        190,001        7,68159
            938            938         187,68        8,01058
            945            945        185,349        8,13164
            952            952        183,015        8,16916
            959            959         180,68        8,17111
            966            966        178,343        8,15998
            973            973        176,007        8,14425
