Ruben_PLA_2003D                                                 09.09.2021 16:00
________________________________________________________________________________



Curve Name:
  Ruben_PLA_2003D, 09.09.2021 15:21:59
  Performed 09.09.2021 15:21:59
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -99,9929        2,57761
              8              8        -97,303        9,95812
             16             16       -94,6611        1,66737
             24             24       -92,0072        -1,9949
             32             32       -89,3468       -3,46017
             40             40       -86,6833       -3,96518
             48             48       -84,0184       -4,09849
             56             56        -81,353       -4,09306
             64             64       -78,6873       -4,04032
             72             72       -76,0215       -3,97163
             80             80       -73,3557       -3,90852
             88             88         -70,69       -3,85198
             96             96       -68,0242       -3,79725
            104            104       -65,3585       -3,75002
            112            112       -62,6927       -3,70431
            120            120       -60,0269       -3,65811
            128            128       -57,3612       -3,61626
            136            136       -54,6955       -3,57892
            144            144       -52,0299       -3,56477
            152            152       -49,3643       -3,54128
            160            160       -46,6986       -3,51364
            168            168       -44,0331       -3,50058
            176            176       -41,3675       -3,48308
            184            184        -38,702       -3,47235
            192            192       -36,0365       -3,46112
            200            200        -33,371        -3,4481
            208            208       -30,7056       -3,44238
            216            216       -28,0401       -3,43313
            224            224       -25,3747       -3,43172
            232            232       -22,7093       -3,42539
            240            240        -20,044       -3,42707
            248            248       -17,3786       -3,42218
            256            256       -14,7133       -3,42203
            264            264       -12,0481       -3,42307
            272            272       -9,38286       -3,42608
            280            280       -6,71763       -3,42909
            288            288       -4,05248       -3,43609
            296            296       -1,38742        -3,4491
            304            304        1,27766       -3,46011
            312            312        3,94268       -3,47449
            320            320        6,60764        -3,4911
            328            328        9,27259       -3,50775
            336            336        11,9375       -3,52562
            344            344        14,6023       -3,54742
            352            352        17,2672       -3,56821
            360            360         19,932       -3,58608
            368            368        22,5969       -3,60533
            376            376        25,2616       -3,62763
            384            384        27,9264        -3,6491
            392            392        30,5911       -3,67098
            400            400        33,2557        -3,6971
            408            408        35,9203       -3,72235
            416            416        38,5849       -3,74997
            424            424        41,2493       -3,78135
