Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	-999	Water	SD	-999	67,3	2,445		171,78	0		390923
2	-999	Water	SD	-999	67,1	2,445		171,78	0		391452
3	-999	Water	SD	-999	67,2	2,4508		171,78	0		391486
4	-999	Water	SD	-999	67,2	2,445		171,78	0		391520
5	-999	Water	SD	-999	67,2	2,445		171,78	0		391554
6	-999	Water	SD	-999	67,2	2,445		171,78	0		391586
7	-999	Water	SD	-999	67,1	2,445		171,78	0		391626
8	-999	Water	SD	-999	67,3	2,445		171,78	0		391661
9	-999	Water	SD	-999	67,2	2,445		171,78	0		391694
10	-999	Water	SD	-999	67,3	2,445		171,78	0		391727
11	-999	Water	SD	-999	67,3	2,445		171,78	0		391758
12	-999	Water	SD	-999	67,3	2,445		171,78	0		391790
13	-999	Water	SD	-999	67,3	2,445		171,78	0		391822
14	-999	Water	SD	-999	67,1	2,445		171,78	0		391853
15	-999	Water	SD	-999	66,9	2,4508		171,78	0		391885
16	-999	Water	SD	-999	66,9	2,4508		171,78	0		391916
17	-999	Water	SD	-999	67,1	2,445		171,78	0		391947
18	-999	Water	SD	-999	67	2,445		171,78	0		391978
19	-999	Water	SD	-999	67,1	2,445		171,78	0		392021
20	-999	Water	SD	-999	67,3	2,445		171,78	0		392055
21	-999	Water	SD	-999	67,2	2,445		171,78	0		392095
22	-999	Water	SD	-999	67	2,445		171,78	0		392130
23	-999	Water	SD	-999	67,2	2,445		171,78	0		392164
24	-999	Water	SD	-999	67,1	2,445		171,78	0		392196
25	-999	Water	SD	-999	67,1	2,445		171,78	0		392228
26	-999	Water	SD	-999	67,1	2,445		171,78	0		392261
27	-999	Water	SD	-999	67,2	2,445		171,78	0		392302
28	-999	Water	SD	-999	66,9	2,4508		171,78	0		392337
29	-999	Water	SD	-999	67,2	2,4508		171,78	0		392377
30	-999	Water	SD	-999	67,1	2,445		171,78	0		392412
31	-999	Water	SD	-999	67	2,445		171,78	0		392488
32	-999	Water	SD	-999	67,2	2,445		171,78	0		392525
33	-999	Water	SD	-999	67,2	2,445		171,78	0		392565
34	-999	Water	SD	-999	67,1	2,445		171,78	0		392600
35	-999	Water	SD	-999	67,1	2,445		171,78	0		392638
36	-999	Water	SD	-999	67,2	2,445		171,78	0		392673
37	-999	Water	SD	-999	67	2,445		171,78	0		392709
38	-999	Water	SD	-999	67,3	2,445		171,78	0		392755
39	-999	Water	SD	-999	67,3	2,445		171,78	0		392789
40	-999	Water	SD	-999	67	2,4508		171,78	0		392822
41	-999	Water	SD	-999	67,1	2,445		171,78	0		392858
42	-999	Water	SD	-999	66,9	2,445		171,78	0		392894
43	-999	Water	SD	-999	67	2,445		171,78	0		392929
44	-999	Water	SD	-999	67,1	2,445		171,78	0		392975
45	-999	Water	SD	-999	67,1	2,445		171,78	0		393021
46	-999	Water	SD	-999	67	2,4508		171,78	0		393056
47	-999	Water	SD	-999	67,1	2,445		171,78	0		393106
48	-999	Water	SD	-999	66,8	2,4508		171,78	0		393141
49	-999	Water	SD	-999	67	2,445		171,78	0		393178
50	-999	Water	SD	-999	67	2,445		171,78	0		393342
51	-999	Water	SD	-999	67	2,445		171,78	0		393379
52	-999	Water	SD	-999	67	2,445		171,78	0		393414
53	-999	Water	SD	-999	67,1	2,445		171,78	0		393460
54	-999	Water	SD	-999	67,1	2,4508		171,78	0		393523
55	-999	Water	SD	-999	67,1	2,445		171,78	0		393564
56	-999	Water	SD	-999	67,5	2,445		171,78	0		393601
57	-999	Water	SD	-999	67,5	2,445		171,78	0		393635
58	-999	Water	SD	-999	68,5	2,4508		171,78	0		393667
59	-999	Water	SD	-999	69,6	2,4508		171,78	0		393699
60	-999	Water	SD	-999	70,9	2,4566		171,78	0		393740
61	-999	Water	SD	-999	70,9	2,4683		171,78	0		393774
62	-999	Water	SD	-999	70,9	2,4799		171,78	0		393815
63	-999	Water	SD	-999	71,4	2,4974		171,78	0		393852
64	-999	Water	SD	-999	71,3	2,509		171,78	0		393885
65	-999	Water	SD	-999	71,3	2,509		171,78	0		393917
66	-999	Water	SD	-999	71,1	2,5265		171,78	0		393954
67	-999	Water	SD	-999	71,3	2,5323		171,78	0		393992
68	-999	Water	SD	-999	71,5	2,5382		171,78	0		394025
69	-999	Water	SD	-999	71,5	2,5498		171,78	0		394071
70	-999	Water	SD	-999	72	2,5673		171,78	0		394106
71	-999	Water	SD	-999	71,8	2,5731		171,78	0		394142
72	-999	Water	SD	-999	72,1	2,5964		171,78	0		394180
73	-999	Water	SD	-999	72,3	2,5905		171,78	0		394226
74	-999	Water	SD	-999	72,3	2,6138		171,78	0		394261
75	-999	Water	SD	-999	72,2	2,6313		171,78	0		394297
76	-999	Water	SD	-999	72,3	2,6546		171,78	0		394369
77	-999	Water	SD	-999	72	2,6662		171,78	0		394410
78	-999	Water	SD	-999	72,1	2,6837		171,78	0		394446
79	-999	Water	SD	-999	72,5	2,6895		171,78	0		394485
80	-999	Water	SD	-999	72,6	2,707		171,78	0		394523
81	-999	Water	SD	-999	72,5	2,7186		171,78	0		394558
82	-999	Water	SD	-999	72,4	2,7244		171,78	0		394602
83	-999	Water	SD	-999	72,4	2,7244		171,78	0		394634
84	-999	Water	SD	-999	72,1	2,7419		171,78	0		394668
85	-999	Water	SD	-999	72,2	2,7535		171,78	0		394711
86	-999	Water	SD	-999	72,4	2,7535		171,78	0		394752
