Measurement : Å
Device : DataPhysics OCA - Series
Customer : Nicholas
Sample : GR18.2
Operator : Grazia
Remarks : Nicholas

Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	1,90663	Water	SD	 0,06	 57,2	2,5468		226,06	59,77		1662221
2	2,13345	Water	SD	 0,06	 55,9	2,6697		226,06	74,78		1952180
3	2,35287	Water	SD	 0,06	 57,1	2,7333		226,06	66,46		2020220
4	2,20670	Water	SD	 0,07	 52,3	2,7752		226,29	53,73		2164939
5	2,20171	Water	SD	 0,06	 57,4	2,6616		226,29	84,88		2567258
6	2,03446	Water	SD	 0,05	 58,0	2,5827		226,29	65,57		2636978
7	2,23032	Water	SD	 0,10	 58,2	2,6595		226,29	66,79		2725777
8	2,30698	Water	SD	 0,06	 57,5	2,7092		226,29	59,06		2795137
9	1,89739	Water	SD	 0,10	 64,8	2,4044		226,29	38,77		2870817
10	2,35912	Water	SD	 0,05	 67,0	2,5331		226,29	66,29		2935536
11	2,24815	Water	SD	 0,04	 58,7	2,6570		226,29	62,75		3056056
12	2,09415	Water	SD	 0,06	 61,5	2,5374		226,29	65,17		3150576
13	2,03622	Water	SD	 0,05	 60,9	2,5257		226,29	65,14		3150576
14	2,43621	Water	SD	 0,08	 58,8	2,7031		226,29	338,43		3241215
15	2,06336	Water	SD	 0,06	 60,6	2,5428		226,29	65,38		3289655
16	2,17872	Water	SD	 0,07	 74,4	2,3223		226,29	93,71		3338895
17	2,30871	Water	SD	 0,07	 59,5	2,6483		226,29	151,15		3461575
