Measurement : Å
Device : DataPhysics OCA - Series
Customer : Nicholas
Sample : Not Defined
Operator : Nicholas
Remarks : Nicholas

Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	1,14086	Diiodomethane	SD	 0,07	 79,9	1,7823		219,60	718,13		3746225
2	1,70632	Diiodomethane	SD	 0,09	 90,9	1,8718		219,60	244,39		3810425
3	1,81737	Diiodomethane	SD	 0,16	108,1	1,6250		219,60	291,44		3840465
4	1,66869	Diiodomethane	SD	 0,69	115,6	1,4456		219,60	390,78		3872945
5	1,80340	Diiodomethane	SD	 0,41	113,0	1,5397		219,60	275,72		3923145
6	1,56780	Diiodomethane	SD	 0,39	103,5	1,6182		219,60	298,43		3966785
7	1,67955	Diiodomethane	SD	 0,63	 86,9	1,9158		219,60	2782,42		4088385
8	1,52195	Diiodomethane	SD	 0,39	 85,3	1,8804		219,60	409,79		4131025
9	1,05755	Diiodomethane	SD	 0,59	 88,8	1,6582		219,60	2822,05		4173825
10	0,95878	Diiodomethane	SD	 0,56	 99,2	2,3415		219,60	9413,20		4206745
11	1,73134	Diiodomethane	SD	 0,37	104,7	1,6461		219,60	468,38		4267665
12	1,76876	Diiodomethane	SD	 0,24	 96,4	1,8123		219,60	178,94		4311305
13	0,81310	Diiodomethane	SD	 0,27	 88,5	1,7202		219,60	 0,00		4409265
14	2,16586	Diiodomethane	SD	 0,40	 92,6	1,7124		219,60	1556,08		4445825
15	56,32306	Diiodomethane	SD	 0,87	107,1	2,3327		219,60	535,59		4479505
16	124,01498	Diiodomethane	SD	 0,40	 96,5	2,2681		219,60	1458,38		4565305
