Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	3,16034	Water	SD	0,12	79,1	2,5383		173,06	78,31		773913
2	3,13641	Water	SD	0,12	80,5	2,5049		173,06	78,56		830073
3	3,03218	Water	SD	0,12	80,5	2,4759		173,06	78,67		893233
4	3,19611	Water	SD	0,05	79,9	2,534		173,06	74,95		944473
5	3,33912	Water	SD	0,1	81,1	2,5498		173,06	71,01		1026353
6	3,25108	Water	SD	0,07	80,3	2,5382		173,06	79,68		1085233
7	3,11608	Water	SD	0,47	79,3	2,5368		173,06	49,57		1148113
8	3,13124	Water	SD	0,08	79,1	2,532		173,06	74,55		1195033
9	3,22392	Water	SD	0,08	76,9	2,603		173,06	71,89		1305274
10	3,32807	Water	SD	0,07	80,1	2,5663		173,06	73,24		1393314
11	3,0204	Water	SD	0,07	80,8	2,4673		173,06	76,97		1430634
