Measurement : Å
Device : DataPhysics OCA - Series
Customer : Nicholas
Sample : Not Defined
Operator : Nicholas
Remarks : Nicholas

Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	1,94206	Water	SD	 0,09	 64,6	2,4103		219,60	103,40		1519665
2	1,62921	Water	SD	 0,07	 88,7	1,8752		219,60	77,99		2457865
3	1,88250	Water	SD	 0,11	 84,6	2,0304		219,60	135,97		2628705
4	1,20089	Water	SD	 0,16	 74,1	1,9133		219,60	41,46		2687545
5	1,18409	Water	SD	 0,14	 73,1	1,9106		219,60	85,27		2757625
6	1,14207	Water	SD	 0,09	 72,7	1,8919		219,60	216,07		2787585
7	1,23613	Water	SD	 0,10	 67,2	2,0260		219,60	380,31		2818465
8	1,74402	Water	SD	 0,09	 69,4	2,2413		219,60	91,61		2890945
9	1,66665	Water	SD	 0,21	 74,5	2,1280		219,60	48,97		2962905
10	1,74007	Water	SD	 0,11	 82,6	2,0034		219,60	355,41		3048785
11	1,95533	Water	SD	 0,08	 84,1	2,0634		219,60	164,04		3117625
12	1,81962	Water	SD	 0,11	 83,5	2,0256		219,60	130,74		3148025
13	1,83832	Water	SD	 0,21	 87,8	1,9672		219,60	86,46		3198545
14	1,65599	Water	SD	 0,17	 79,3	2,0442		219,60	48,28		3232825
15	-1,#INF0	Water	SD	 1,20	 80,6	2,1406		219,60	 0,00		3300025
16	1,77614	Water	SD	 0,10	 71,6	2,2198		219,60	68,88		3358385
17	1,63785	Water	SD	 0,10	 72,2	2,1511		219,60	57,67		3449825
18	1,63298	Water	SD	 0,08	 67,9	2,2191		219,60	76,22		3497025
