Measurement : A											
Device : DataPhysics OCA - Series											
Customer : Ruben											
Sample : Not Defined											
Operator : User 1											
Remarks : Ruben											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	3,25389	Water	SD	1,08	79,6	2,4687		191,27	1532,7		872470
2	3,19861	Water	SD	0,63	76,8	2,5803		191,27	257,64		906990
3	3,0638	Water	SD	0,22	79,2	2,5002		193,14	124,88		971750
4	3,00779	Water	SD	0,27	78,8	2,4927		193,14	136,44		1004030
5	3,38028	Water	SD	0,4	80,8	2,549		193,14	151,42		1032990
6	3,11523	Water	SD	0,34	82,5	2,4528		193,14	106,05		1122150
7	3,24464	Water	SD	0,28	81,3	2,5066		193,14	133,63		1148670
8	3,01894	Water	SD	0,14	81,7	2,442		193,14	108,8		1191229
9	3,04133	Water	SD	0,13	81,1	2,4597		193,14	111,61		1306709
10	3,18102	Water	SD	0,21	82,1	2,479		193,14	103,67		1337869
11	3,02737	Water	SD	0,13	81,1	2,4552		193,14	109,26		1419669
12	3,21327	Water	SD	0,22	81	2,5042		193,14	128,56		1459269
13	2,99633	Water	SD	0,14	81	2,4526		193,14	90,47		1496068
